"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"54";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;6;0,6045737;0,51002;0,2038174;0,3170366;0,9055436;0,037195;0,1216451;0,3326139;0;2,2467885;0,0156412;0,0599878;NA;NA;NA;NA;1;2009-06-01
"55";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;7;0;0;0;0;0;0;0;0;0;0;0,0484529;0;NA;NA;NA;NA;1;2009-07-01
"56";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;8;0;0;0;0;0;0;0;0;0;0;0,0205356;0;NA;NA;NA;NA;1;2009-08-01
"57";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;9;0;0;0;0;0;0;0;0;0;0;0,0151107;0;NA;NA;NA;NA;1;2009-09-01
"58";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;10;0,0642871;0,0539441;0,0153144;0,0273571;0,1262677;0,0020138;0,008486;0,0370776;0;0,1461134;0,0297274;0,0112048;NA;NA;NA;NA;1;2009-10-01
"59";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;11;4,3928618;3,6804278;2,441659;5,4758034;7,4246087;0,5615845;2,1789751;10,2466364;0,0299333;7,6643767;0,0048885;0,5806379;NA;NA;NA;NA;1;2009-11-01
"60";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;12;1,6227241;1,3562987;1,1094081;2,8014894;2,0494101;0,3028097;1,1584491;5,6094661;0,0176756;4,156136;0,0030821;0,1028087;NA;NA;NA;NA;1;2009-12-01
"61";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;1;1,6212211;1,3521435;1,4054481;3,8911228;1,6548865;0,4638676;1,7033939;7,909802;0,0294674;4,4956093;0,0023208;0,0624519;NA;NA;NA;NA;1;2010-01-01
"62";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;2;0,8801566;0,7316582;0,4489026;1,1021025;1,3469236;0,1376298;0,3468447;1,5977367;0,0017547;2,9989419;0,0057371;0,0290559;NA;NA;NA;NA;1;2010-02-01
"63";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;3;1,646711;1,3641357;0,8716987;2,1159024;2,5437315;0,2769755;0,6796172;3,5463245;0;4,7680092;0,0059083;0,0545899;NA;NA;NA;NA;1;2010-03-01
