"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"44";2048;150,6993898;21,6098801;11,1609548;27,1964764;5,448616;7,605614;256,5754671;0,0101471;0,0101471;0,0101471;4,9327761;6,2973048;60,0079305;0,0037314;0,0037314;0,0037314;0,0475621;0,0237808;216,3761429;0,0382839;0,0382839;0,0382839;0,1834098;0,0893526;229,5907516;0,041991;0,041991;0,041991;0,2309003;0,1130868;0;26,72581996;4,27806145214;8,649099444908;10,622277416808;2,7058314149;3,26947312538
"45";2049;150,6076488;21,5812947;11,1527039;27,194112;5,4433779;7,6021562;262,087265;0,0105634;0,0105634;0,0105634;5,1534512;6,3622303;60,8493739;0,0038176;0,0038176;0,0038176;0,0483335;0,0241668;218,192892;0,0387;0,0387;0,0387;0,1855657;0,0895342;231,1398869;0,0421871;0,0421871;0,0421871;0,2320384;0,1133331;0;27,230283052;4,29704175731;8,637643640156;10,621353061892;2,703826082265;3,33785104604
"46";2050;150,5597186;21,559152;11,1477159;27,1995124;5,4397436;7,6008977;262,4843855;0,0107788;0,0107788;0,0107788;5,1292004;6,316821;60,8772295;0,0038326;0,0038326;0,0038326;0,0483491;0,0241745;221,78056;0,0387266;0,0387266;0,0387266;0,1848963;0,0894181;234,158314;0,042444;0,042444;0,042444;0,2331133;0,1135363;0;26,776896174;4,28262469582;8,628845395192;10,623538327308;2,702659636705;3,32912569262
"47";2051;150,5521306;21,5429459;11,1457266;27,2120391;5,4375859;7,6016603;262,8819914;0,0109935;0,0109935;0,0109935;5,1046322;6,2717451;60,90609;0,0038472;0,0038472;0,0038472;0,0483654;0,0241826;216,8481645;0,0387577;0,0387577;0,0387577;0,1850449;0,0894928;232,7687951;0,0425485;0,0425485;0,0425485;0,2332871;0,1136163;0;27,52203405;4,26887773222;8,622424218092;10,628507800402;2,70222076132;3,32050972792
"48";2052;150,5431305;21,5268893;11,1436643;27,2239793;5,4354207;7,6023253;263,2741413;0,0112069;0,0112069;0,0112069;5,0802261;6,2270335;60,9352963;0,0038623;0,0038623;0,0038623;0,0483817;0,0241911;221,2699198;0,0387886;0,0387886;0,0387886;0,1859923;0,0897497;234,5767708;0,0426109;0,0426109;0,0426109;0,2337804;0,1137929;0;26,95662928;4,25515693827;8,616062513776;10,633247533648;2,70176387593;3,3116872327
"49";2053;150,5414477;21,5121773;11,1421736;27,2369662;5,4335575;7,6033351;263,6818105;0,0114189;0,0114189;0,0114189;5,0564016;6,1828006;60,9646643;0,0038772;0,0038772;0,0038772;0,0483985;0,0241992;224,3031364;0,0388203;0,0388203;0,0388203;0,1853468;0,0898103;237,120966;0,0426621;0,0426621;0,0426621;0,23396;0,113931;0;26,588817052;4,24175197638;8,610238789684;10,638395645504;2,70144538321;3,30365870338
"50";2054;150,5313056;21,4966116;11,1400863;27,2480895;5,4314328;7,6038895;264,086732;0,0116294;0,0116294;0,0116294;5,0325727;6,1388581;60,9941478;0,0038923;0,0038923;0,0038923;0,0484152;0,0242076;218,7563328;0,0388511;0,0388511;0,0388511;0,185495;0,0897197;235,2262765;0,0427096;0,0427096;0,0427096;0,2338858;0,1139413;0;27,420638672;4,22834274063;8,604072696324;10,642814892444;2,70098174103;3,2952904663
"51";2055;150,5028201;21,4788175;11,1366777;27,2555301;5,4286945;7,6034866;264,4809056;0,0118384;0,0118384;0,0118384;5,0086803;6,0952201;61,0237204;0,0039072;0,0039072;0,0039072;0,0484318;0,024216;221,749391;0,0388798;0,0388798;0,0388798;0,1856326;0,089789;235,8272648;0,0427547;0,0427547;0,0427547;0,2339766;0,1139681;0;27,052806858;4,21468181169;8,597013789836;10,645794511926;2,700197102715;3,28670854932
"52";2056;150,4931993;21,4639346;11,1346845;27,2661804;5,4266625;7,604019;264,8842754;0,012046;0,012046;0,012046;4,9851808;6,0519923;61,0533729;0,0039222;0,0039222;0,0039222;0,0484486;0,0242243;226,3415059;0,0389099;0,0389099;0,0389099;0,185777;0,0900432;238,780203;0,0427994;0,0427994;0,0427994;0,2341156;0,1141275;0;26,465035632;4,20138032057;8,591120453732;10,65002796517;2,69975579683;3,27847685578
"53";2057;150,4773357;21,4484798;11,1322604;27,2754078;5,4244452;7,6042131;265,2908908;0,012252;0,012252;0,012252;4,9619572;6,0091525;61,0831068;0,0039372;0,0039372;0,0039372;0,0484654;0,0242327;221,3625804;0,0389393;0,0389393;0,0389393;0,1859186;0,0899331;237,6444264;0,0428446;0,0428446;0,0428446;0,2342721;0,1141723;0;27,216790454;4,18820704525;8,5849975623;10,65370474109;2,699209541955;3,27027510628
