"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"99";3;2013;22333,3710938;34,6349525;5,6559763;22,54175;2,4804699;4,7993875;2013-03-01
"100";4;2013;22392,2070312;34,643589;5,6571245;22,5459042;2,4825366;4,8024683;2013-04-01
"101";5;2013;22509,8789062;34,7832069;5,6851397;22,6451645;2,4963169;4,8255134;2013-05-01
"102";6;2013;22585,1875;34,905838;5,7051005;22,7255058;2,5037417;4,834506;2013-06-01
"103";7;2013;22660,4980469;35,0284691;5,7250619;22,8058453;2,5118515;4,8404932;2013-07-01
"104";8;2013;22726,3945312;35,1357689;5,7425275;22,8761406;2,5189242;4,8469481;2013-08-01
"105";9;2013;22787,5820312;35,2354088;5,7587457;22,9414158;2,5257559;4,8547792;2013-09-01
"106";10;2013;22789,9375;35,2392426;5,7593694;22,9439259;2,5260103;4,8553553;2013-10-01
"107";11;2013;22792,2890625;35,2400742;5,759645;22,9442215;2,5260441;4,8554649;2013-11-01
"108";12;2013;22794,6445312;35,240078;5,759645;22,9442902;2,5260787;4,8555498;2013-12-01
"109";1;2014;22796,8847656;35,240078;5,759645;22,9443111;2,5260921;4,8555803;2014-01-01
"110";2;2014;22799,125;35,240078;5,7596455;22,9443359;2,5261104;4,8556185;2014-02-01
"111";3;2014;22803,609375;35,240078;5,7596455;22,9443798;2,5261683;4,8557224;2014-03-01
"112";4;2014;22859,6445312;35,248333;5,7607436;22,9483452;2,5281377;4,8586521;2014-04-01
"113";5;2014;22971,7109375;35,38274;5,7877994;23,0441952;2,5412617;4,8808289;2014-05-01
"114";6;2014;23043,4355469;35,4995308;5,8068094;23,1207085;2,5484898;4,8906074;2014-06-01
"115";7;2014;23115,1582031;35,6163177;5,8258195;23,1972198;2,5562723;4,8960848;2014-07-01
"116";8;2014;23177,9179688;35,7185097;5,8424544;23,2641716;2,563055;4,9020085;2014-08-01
"117";9;2014;23236,1933594;35,8134041;5,8579006;23,3263378;2,5695806;4,9084086;2014-09-01
"118";10;2014;23238,4355469;35,8170586;5,8584943;23,3287315;2,5698161;4,908957;2014-10-01
"119";11;2014;23240,6757812;35,8180199;5,8587747;23,329071;2,5698476;4,909049;2014-11-01
"120";12;2014;23242,9179688;35,8180199;5,8587747;23,3291359;2,5698798;4,9091263;2014-12-01
"121";1;2015;23245,046875;35,8180237;5,8587747;23,329155;2,5698929;4,9091563;2015-01-01
"122";2;2015;23247,1757812;35,8180199;5,8587747;23,3291779;2,5699108;4,909194;2015-02-01
"123";3;2015;23251,4335938;35,8180199;5,8587747;23,3292217;2,5699682;4,9092956;2015-03-01
"124";4;2015;23304,6660156;35,8260841;5,8598557;23,3331184;2,5719061;4,9121752;2015-04-01
"125";5;2015;23411,1308594;35,9550629;5,8858924;23,4253559;2,5843742;4,9334531;2015-05-01
"126";6;2015;23479,2675781;36,0660133;5,9039516;23,4980469;2,5913815;4,9383783;2015-06-01
"127";7;2015;23547,4042969;36,1769638;5,9220123;23,570734;2,5988281;4,942832;2015-07-01
"128";8;2015;23607,0234375;36,274044;5,9378152;23,6343346;2,6053143;4,9483266;2015-08-01
"129";9;2015;23662,3847656;36,364193;5,9524889;23,6933918;2,6115334;4,9542027;2015-09-01
"130";10;2015;23664,5136719;36,3676567;5,9530535;23,6956635;2,6117516;4,9547238;2015-10-01
"131";11;2015;23666,6425781;36,3687248;5,9533358;23,6960411;2,6117809;4,9547973;2015-11-01
"132";12;2015;23668,7714844;36,3687325;5,9533358;23,696104;2,6118104;4,9548674;2015-12-01
"133";1;2016;23670,7890625;36,3687325;5,9533358;23,6961231;2,6118228;4,954895;2016-01-01
"134";2;2016;23672,8046875;36,3687325;5,9533358;23,6961441;2,6118393;4,9549298;2016-02-01
"135";3;2016;23676,8398438;36,3687325;5,9533358;23,6961823;2,6118937;4,9550242;2016-03-01
"136";4;2016;23727,2695312;36,3764343;5,9543662;23,699894;2,6137381;4,9577603;2016-04-01
"137";5;2016;23828,1328125;36,4999199;5,9793334;23,7884121;2,62555;4,978138;2016-05-01
"138";6;2016;23892,6835938;36,6050339;5,9964428;23,857275;2,6323211;4,9828653;2016-06-01
"139";7;2016;23957,234375;36,710144;6,0135517;23,9261341;2,6394298;4,9877405;2016-07-01
"140";8;2016;24013,7148438;36,8021164;6,028523;23,9863911;2,6456165;4,9929132;2016-08-01
