"";"Date";"V2";"Dry.weight";"Ca";"Mg";"K";"N";"P";"S";"V10";"V11";"V12";"V13";"V14";"V15"
"75";2011;3;21,9828701;683,7670898;82,7913284;38,8236809;98,5090408;20,3708286;29,1667156;"   1503.1163330";"    181.9990997";"     85.3455963";"    216.5511475";"     44.7809296";"     64.1168137"
"76";2011;4;14,5086946;683,1556396;82,7913284;38,8236809;98,5090408;20,3708286;29,1808262;"    991.1696167";"    120.1194077";"     56.3280907";"    142.9237518";"     29.5554123";"     42.3375702"
"77";2011;5;28,3945427;683,3547363;82,7913284;38,8236847;98,5090408;20,3708286;29,1951237;"   1940.3544922";"    235.0821838";"    110.2380753";"    279.7119141";"     57.8420334";"     82.8982162"
"78";2011;6;26,8557396;683,0148926;82,7913284;38,8236847;98,5090408;20,3708286;29,2045383;"   1834.2871094";"    222.3422394";"    104.2638779";"    264.5533142";"     54.7073669";"     78.4309540"
"79";2011;7;20,04105;682,3144531;82,7913284;38,8236847;98,5090408;20,3708286;29,2229404;"   1367.4298096";"    165.9225159";"     77.8067474";"    197.4224701";"     40.8252831";"     58.5658455"
"80";2011;8;29,1273022;681,1126099;82,7913284;38,8236847;98,5090408;20,3708286;29,193161;"   1983.8973389";"    241.1488037";"    113.0829163";"    286.9302673";"     59.3347282";"     85.0317993"
"81";2011;9;59,2438354;679,9106445;82,7913284;38,8236847;98,5090408;20,3708286;29,1557331;"   4028.0515137";"    490.4875793";"    230.0064087";"    583.6053467";"    120.6846008";"    172.7297516"
"82";2011;10;178,0612488;678,2526855;82,7913284;38,8236847;98,5090408;20,3708267;29,0981197;"  12077.0527344";"   1474.1927490";"    691.2993774";"   1754.0643311";"    362.7254944";"    518.1247559"
"83";2011;11;68,5865555;676,2612915;82,7913284;38,8236885;98,5090408;20,3708267;29,0942001;"   4638.2431641";"    567.8372192";"    266.2782898";"    675.6395874";"    139.7164764";"    199.5470886"
"84";2011;12;25,7199574;665,6177979;82,7913284;38,8236923;98,5090408;20,3708248;28,6700268;"   1711.9661865";"    212.9389496";"     99.8543701";"    253.3648376";"     52.3936729";"     73.7391891"
"85";2012;1;18,4003754;661,8292236;82,7913284;38,8236923;98,5090408;20,3708248;28,513401;"   1217.7906494";"    152.3391571";"     71.4370499";"    181.2603302";"     37.4830818";"     52.4657288"
"86";2012;2;21,9689331;652,0705566;82,7913361;38,8236923;98,5090408;20,3708267;28,0977211;"   1432.5294189";"    181.8837280";"     85.2915039";"    216.4138489";"     44.7525291";"     61.7276917"
"87";2012;3;22,303484;650,7122803;82,7913361;38,8236923;98,5090408;20,3708267;28,0670815;"   1451.3150635";"    184.6535187";"     86.5903549";"    219.7094727";"     45.4340401";"     62.5993690"
