"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"164";2018;8;10262,9443359;59,3258629;18,493803;5,6660304;23,9533958;4,4730768;6,2112861;2018-08-01
"165";2018;9;10195,4833984;58,8434906;18,4698868;5,6540036;23,9374638;4,463542;6,1645193;2018-09-01
"166";2018;10;9929,3330078;57,6020851;18,1799412;5,5560431;23,5911407;4,3717818;6,074513;2018-10-01
"167";2018;11;10174,5556641;57,2118416;18,4632607;5,6865458;23,6553535;4,3399601;6,046998;2018-11-01
"168";2018;12;10116,9423828;56,8878784;18,3587132;5,654346;23,5214062;4,3153853;6,0127568;2018-12-01
"169";2019;1;10076,0800781;56,6581116;18,2845631;5,6315079;23,4264011;4,2979555;5,988471;2019-01-01
"170";2019;2;10027,2929688;56,3837814;18,1960297;5,6042404;23,3129768;4,2771454;5,959475;2019-02-01
"171";2019;3;9977,7626953;56,1052704;18,1061516;5,5765586;23,1978207;4,2560182;5,9300385;2019-03-01
"172";2019;4;10356,015625;57,2118492;18,1803684;5,5899997;23,2574596;4,3440418;6,0332303;2019-04-01
"173";2019;5;10324,7285156;57,1984253;18,1521282;5,5855041;23,2408524;4,3422561;6,0323362;2019-05-01
"174";2019;6;10328,1972656;57,0834389;18,2574482;5,6129889;23,393692;4,3639431;6,026371;2019-06-01
"175";2019;7;10343,5507812;57,0167885;18,3779945;5,6454411;23,5649986;4,3896055;6,0190763;2019-07-01
"176";2019;8;10323,078125;56,8206749;18,4107761;5,6521173;23,6194477;4,3949413;6,0001092;2019-08-01
"177";2019;9;10255,2226562;56,3248062;18,3891773;5,6406245;23,6095181;4,3871732;5,9519081;2019-09-01
"178";2019;10;9987,5117188;55,1594887;18,1048279;5,5438852;23,2792435;4,2973509;5,8659353;2019-10-01
"179";2019;11;10234,171875;54,7881889;18,4659634;5,6903982;23,4206543;4,2661939;5,8397202;2019-11-01
"180";2019;12;10176,2216797;54,4779549;18,3613987;5,6581769;23,2880383;4,2420363;5,806653;2019-12-01
"181";2020;1;10135,2001953;54,2583466;18,287384;5,6353683;23,1941624;4,224937;5,783246;2020-01-01
"182";2020;2;10086,2236328;53,9961548;18,1990147;5,6081362;23,0820789;4,2045207;5,7552996;2020-02-01
"183";2020;3;10036,5019531;53,7299652;18,1092968;5,5804896;22,9682903;4,1837931;5,7269273;2020-03-01
"184";2020;4;10396,2324219;54,747776;18,1802883;5,5934844;23,0267963;4,2704296;5,8286815;2020-04-01
"185";2020;5;10364,8251953;54,7546501;18,1534576;5,5896788;23,0145531;4,2691951;5,829711;2020-05-01
"186";2020;6;10368,3056641;54,9051018;18,2595863;5,6173716;23,1698246;4,2929535;5,8437986;2020-06-01
"187";2020;7;10383,7197266;54,8493919;18,3809013;5,6500258;23,3431664;4,3195629;5,8381071;2020-07-01
"188";2020;8;10363,1679688;54,668026;18,4142494;5,6568375;23,3998089;4,3258486;5,8229594;2020-08-01
"189";2020;9;10295,0478516;54,2438583;18,3934383;5,6455216;23,3938389;4,3195448;5,7820792;2020-09-01
"190";2020;10;10026,2978516;53,1192207;18,1105785;5,5490637;23,0741539;4,2312884;5,699347;2020-10-01
"191";2020;11;10273,9160156;52,7634354;18,5131416;5,705687;23,2701244;4,2006559;5,6740899;2020-11-01
"192";2020;12;10215,7402344;52,4646606;18,4083099;5,6733794;23,1383591;4,1768699;5,6419606;2020-12-01
"193";2021;1;10174,4814453;52,2527695;18,3339615;5,6504655;23,0449085;4,1600008;5,6191735;2021-01-01
"194";2021;2;10125,2207031;51,9997826;18,2451973;5,6231084;22,9333324;4,1398597;5,5919681;2021-02-01
"195";2021;3;10075,2089844;51,7429428;18,1550789;5,5953341;22,8200607;4,1194119;5,5643477;2021-03-01
"196";2021;4;10456,5605469;52,815094;18,2298069;5,6089401;22,881815;4,2080741;5,668592;2021-04-01
"197";2021;5;10424,9707031;52,8376579;18,2033939;5,6053305;22,8719406;4,2073689;5,6709619;2021-05-01
"198";2021;6;10428,4716797;52,9349442;18,310461;5,6332817;23,0297241;4,2321067;5,6862984;2021-06-01
"199";2021;7;10443,9746094;52,8877945;18,4327164;5,6661968;23,2052612;4,2593694;5,6811433;2021-07-01
"200";2021;8;10423,3027344;52,7181587;18,4666023;5,6731529;23,263958;4,2663088;5,6655517;2021-08-01
"201";2021;9;10354,7871094;52,3156166;18,446373;5,661983;23,2614422;4,2610922;5,6270919;2021-09-01
"202";2021;10;10084,4785156;51,2327652;18,16395;5,5655956;22,9502563;4,1745038;5,5473723;2021-10-01
"203";2021;11;10333,5341797;50,8919792;18,5846691;5,7263455;23,1698742;4,1444774;5,5231657;2021-11-01
"204";2021;12;10275,0205078;50,6038094;18,4794331;5,6939201;23,0386753;4,1210093;5,4918904;2021-12-01
"205";2022;1;10233,6025391;50,399826;18,4049454;5,6709681;22,9458065;4,1043978;5,4697533;2022-01-01
"206";2022;2;10184,1523438;50,1562881;18,3160076;5,6435657;22,8349323;4,0845652;5,4433231;2022-02-01
"207";2022;3;10133,9492188;49,9090462;18,2257195;5,6157451;22,7223663;4,0644298;5,4164901;2022-03-01
"208";2022;4;10496,7773438;51,0291557;18,2982407;5,6290531;22,783371;4,1525631;5,5203314;2022-04-01
"209";2022;5;10465,0664062;51,050724;18,2724819;5,6254616;22,7758064;4,1522965;5,5240479;2022-05-01
"210";2022;6;10468,5800781;51,3110886;18,3799686;5,6535296;22,9352703;4,1776528;5,5406389;2022-06-01
"211";2022;7;10484,1425781;51,4264336;18,5026989;5,6865783;23,1122799;4,2061133;5,5739245;2022-07-01
"212";2022;8;10463,3925781;51,2662659;18,5367222;5,6935701;23,1723557;4,213695;5,5583105;2022-08-01
"213";2022;9;10394,6142578;50,8808479;18,5164299;5,6823759;23,1721573;4,2095199;5,5229588;2022-09-01
"214";2022;10;10123,2646484;49,8339386;18,2329521;5,58567;22,8666763;4,1243844;5,4465871;2022-10-01
"215";2022;11;10373,2773438;49,5042725;18,7044716;5,7585225;23,1227989;4,0948806;5,4230795;2022-11-01
"216";2022;12;10314,5400391;49,2239609;18,5985603;5,7259154;22,991869;4,0716934;5,3923721;2022-12-01
"217";2023;1;10272,9638672;49,025547;18,5235939;5,7028351;22,8991928;4,0552812;5,3706369;2023-01-01
"218";2023;2;10223,3242188;48,7886505;18,4340839;5,6752787;22,7885418;4,035686;5,3446851;2023-02-01
"219";2023;3;10172,9287109;48,5481491;18,343214;5,6473026;22,6762047;4,0157924;5,3183389;2023-03-01
"220";2023;4;10536,9941406;49,6143951;18,4158802;5,6606507;22,7380047;4,1042929;5,4227061;2023-04-01
"221";2023;5;10505,1621094;49,6244278;18,3905964;5,6569839;22,7333012;4,1044202;5,4266605;2023-05-01
"222";2023;6;10508,6894531;49,7733688;18,4982109;5,6851001;22,894125;4,1302443;5,4444242;2023-06-01
"223";2023;7;10524,3125;49,7420425;18,6212082;5,7182326;23,0723801;4,159399;5,4455123;2023-07-01
"224";2023;8;10503,4814453;49,5932121;18,6550579;5,7251883;23,1334915;4,1682062;5,4316831;2023-08-01
"225";2023;9;10434,4394531;49,2281952;18,6340771;5,7138252;23,1349335;4,1653028;5,3927417;2023-09-01
"226";2023;10;10162,0507812;48,211956;18,3477135;5,6163754;22,833149;4,0831938;5,3172851;2023-10-01
