"";"Month";"Year";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"87";3;2012;206821,96875;147,8337708;159,5715027;22,6702061;103,8829041;13,3568935;20,1077423;2012-03-01
"88";4;2012;206998,15625;147,8623199;159,5843048;22,6716766;103,9239578;13,360611;20,111742;2012-04-01
"89";5;2012;210206,953125;149,508194;161,1938019;22,9357605;105,0941696;13,5555754;20,3444805;2012-05-01
"90";6;2012;211948,359375;150,3944092;162,4610901;23,1098804;105,899498;13,6621542;20,4385338;2012-06-01
"91";7;2012;212804,703125;150,8067932;163,1257172;23,2031021;106,3233109;13,7171383;20,469347;2012-07-01
"92";8;2012;213618,140625;151,2019196;163,750946;23,2905293;106,721817;13,7689867;20,4976273;2012-08-01
"93";9;2012;214563,25;151,6704712;164,4607391;23,3890591;107,173645;13,8281937;20,5332928;2012-09-01
"94";10;2012;214637,421875;151,7121277;164,5138092;23,3963108;107,2073288;13,8326769;20,5405426;2012-10-01
"95";11;2012;214644,140625;151,7129974;164,5145264;23,3967037;107,2081146;13,8328781;20,5407467;2012-11-01
"96";12;2012;214646,484375;151,7134705;164,5145264;23,3967037;107,2079926;13,8328905;20,540823;2012-12-01
"97";1;2013;214648,671875;151,713623;164,5145264;23,3967037;107,2079391;13,8328972;20,5408459;2013-01-01
"98";2;2013;214650,9375;151,7137909;164,5145264;23,3967037;107,2078934;13,8329077;20,5408783;2013-02-01
"99";3;2013;214655,4375;151,7141418;164,5145264;23,3967037;107,2078247;13,8329525;20,5409603;2013-03-01
"100";4;2013;214840,34375;151,7466278;164,5287323;23,3983593;107,2545471;13,8372602;20,5454903;2013-04-01
"101";5;2013;218195,234375;153,4088287;166,4243011;23,6872997;108,5381317;14,0388355;20,8021107;2013-05-01
"102";6;2013;219852,40625;154,240387;167,6201172;23,8510685;109,2956848;14,1394215;20,8806038;2013-06-01
"103";7;2013;220700,5;154,6466217;168,2670593;23,9412861;109,706871;14,1930733;20,9070721;2013-07-01
"104";8;2013;221501,0625;155,0328217;168,872757;24,0255413;110,0916824;14,2434082;20,935936;2013-08-01
"105";9;2013;222491,6875;155,5213928;169,6029816;24,126255;110,5548706;14,304491;20,985075;2013-09-01
"106";10;2013;222565,65625;155,5600281;169,6553802;24,1333904;110,5880356;14,3089218;20,9922028;2013-10-01
"107";11;2013;222578,34375;155,5654755;169,657486;24,1340485;110,5896072;14,3090467;20,992466;2013-11-01
"108";12;2013;222580,65625;155,5659637;169,657486;24,1340485;110,589592;14,3090639;20,992548;2013-12-01
"109";1;2014;222582,6875;155,5661469;169,6574554;24,1340485;110,5895233;14,3090696;20,9925766;2014-01-01
"110";2;2014;222584,828125;155,5663147;169,6574554;24,1340485;110,5894775;14,309082;20,9926147;2014-02-01
"111";3;2014;222589,0625;155,5667114;169,6574554;24,1340485;110,589386;14,3091335;20,9927063;2014-03-01
"112";4;2014;222789,6875;155,6057129;169,6738739;24,1360016;110,6424637;14,3143511;20,9980984;2014-04-01
"113";5;2014;226174,03125;157,3409729;171,5775909;24,4292755;111,9459;14,5164814;21,2573605;2014-05-01
"114";6;2014;227593,515625;158,0428009;172,6058197;24,5702229;112,5959396;14,6027298;21,3344021;2014-06-01
"115";7;2014;228337,359375;158,392807;173,1771088;24,6500435;112,9584656;14,64995;21,356329;2014-07-01
"116";8;2014;229126,96875;158,7713013;173,7708435;24,7324429;113,3347092;14,6992836;21,3831558;2014-08-01
"117";9;2014;230023,5;159,2077942;174,4326172;24,8237247;113,7535934;14,7545252;21,4193592;2014-09-01
"118";10;2014;230095,09375;159,2438965;174,4831543;24,8305969;113,7854919;14,7587929;21,4262123;2014-10-01
"119";11;2014;230107,125;159,2490082;174,4856415;24,8312664;113,7872086;14,7589397;21,4264317;2014-11-01
"120";12;2014;230109,359375;159,2494812;174,4856415;24,8312664;113,7872162;14,758955;21,4265041;2014-12-01
"121";1;2015;230111,3125;159,249649;174,4856415;24,8312664;113,7871552;14,7589617;21,4265347;2015-01-01
"122";2;2015;230113,34375;159,2498016;174,4856415;24,8312683;113,7871017;14,7589722;21,4265652;2015-02-01
"123";3;2015;230117,34375;159,2501526;174,4856415;24,8312683;113,7870331;14,7590208;21,4266567;2015-03-01
"124";4;2015;230316,375;159,2882385;174,5018158;24,8331852;113,8400345;14,7641706;21,4319286;2015-04-01
"125";5;2015;233730,546875;161,0414734;176,4136047;25,1308556;115,1636963;14,9668617;21,6939297;2015-05-01
"126";6;2015;234614,96875;161,4624786;177,0747833;25,2224102;115,5816193;15,0217838;21,7181797;2015-06-01
"127";7;2015;235352,09375;161,8075256;177,636673;25,300705;115,937294;15,0682364;21,7357235;2015-07-01
"128";8;2015;236131,3125;162,1786804;178,2187958;25,3812962;116,3052292;15,1166019;21,7605972;2015-08-01
"129";9;2015;237005,9375;162,6012421;178,8611603;25,4697361;116,7108002;15,1702003;21,7946301;2015-09-01
"130";10;2015;237072,640625;162,6345367;178,9081726;25,4761143;116,740387;15,1741629;21,8007946;2015-10-01
"131";11;2015;237084,046875;162,6393585;178,9109802;25,4767933;116,7422333;15,1743269;21,8009739;2015-11-01
"132";12;2015;237086,171875;162,6397705;178,9109802;25,4767933;116,7422409;15,1743422;21,8010426;2015-12-01
"133";1;2016;237088,109375;162,6399231;178,9109802;25,4767933;116,7421722;15,1743488;21,8010712;2016-01-01
"134";2;2016;237090,125;162,6400909;178,9109802;25,4767933;116,7421188;15,1743612;21,8011036;2016-02-01
"135";3;2016;237094,140625;162,6404724;178,9109802;25,4767933;116,7420273;15,1744146;21,8011932;2016-03-01
"136";4;2016;237298,125;162,680542;178,9278412;25,4788055;116,7968674;15,1798487;21,8067265;2016-04-01
"137";5;2016;240721,1875;164,4817505;180,8447571;25,7784748;118,129921;15,38305;22,0694466;2016-05-01
"138";6;2016;241596,890625;164,8982849;181,500061;25,8692474;118,5441742;15,4374695;22,0937805;2016-06-01
"139";7;2016;242326,859375;165,2396393;182,0570984;25,9468975;118,8967819;15,48351;22,1147575;2016-07-01
"140";8;2016;243094,546875;165,6048279;182,631485;26,0264473;119,2598572;15,5312119;22,1398849;2016-08-01
"141";9;2016;243947,359375;166,0161438;183,25914;26,1129227;119,6561966;15,5835562;22,172781;2016-09-01
"142";10;2016;244012,09375;166,0484161;183,3047943;26,1191235;119,6849594;15,5874052;22,1786957;2016-10-01
"143";11;2016;244023,0625;166,0529785;183,3076019;26,1197929;119,6867905;15,5875692;22,1788635;2016-11-01
"144";12;2016;244025,1875;166,0533752;183,3076019;26,1197929;119,6867905;15,5875835;22,1789284;2016-12-01
"145";1;2017;244027,015625;166,0535278;183,3075867;26,1197929;119,6867294;15,5875902;22,1789532;2017-01-01
"146";2;2017;244028,90625;166,0536804;183,3075867;26,1197929;119,6866837;15,5876017;22,1789856;2017-02-01
"147";3;2017;244032,6875;166,0540314;183,3075867;26,1197929;119,6865845;15,5876522;22,1790695;2017-03-01
"148";4;2017;244236,796875;166,093338;183,3243103;26,1217804;119,7416534;15,5930386;22,1845074;2017-04-01
"149";5;2017;247726,34375;167,8883667;185,2637024;26,4272308;121,1000671;15,7981567;22,4513588;2017-05-01
"150";6;2017;249058,1875;168,5321655;186,2179108;26,5574169;121,6988907;15,8780079;22,4996643;2017-06-01
"151";7;2017;249891,6875;168,9228058;186,8382263;26,6431389;122,0893326;15,9294319;22,5200062;2017-07-01
"152";8;2017;250658,578125;169,2837372;187,4062042;26,7215004;122,4466858;15,976573;22,5446377;2017-08-01
"153";9;2017;251502,125;169,6856232;188,0216522;26,8059921;122,8334732;16,0278435;22,5769558;2017-09-01
"154";10;2017;251562,625;169,7153625;188,0641479;26,8117428;122,8600769;16,0314159;22,5820808;2017-10-01
"155";11;2017;251573,1875;169,7196808;188,0673218;26,8124237;122,8620148;16,0315914;22,5822353;2017-11-01
"156";12;2017;251575,1875;169,7200623;188,0673218;26,8124237;122,8620377;16,0316048;22,5822945;2017-12-01
"157";1;2018;251576,9375;169,7201996;188,0673218;26,8124237;122,8619614;16,0316124;22,5823174;2018-01-01
"158";2;2018;251578,71875;169,7203369;188,0673218;26,8124237;122,8619232;16,0316238;22,582346;2018-02-01
"159";3;2018;251582,3125;169,7206268;188,0673218;26,8124237;122,8618393;16,0316696;22,5824261;2018-03-01
"160";4;2018;251782,5625;169,7586517;188,0835724;26,8143501;122,9162674;16,0369148;22,5876751;2018-04-01
"161";5;2018;254037,734375;170,8504333;189,2942657;27,0191956;123,8230438;16,171133;22,7654152;2018-05-01
"162";6;2018;255295,625;171,4554291;190,1947937;27,1420116;124,3877869;16,2464676;22,8011742;2018-06-01
"163";7;2018;256118,125;171,8403473;190,8038177;27,2260284;124,7707214;16,2969971;22,8205547;2018-07-01
"164";8;2018;256871,25;172,1940765;191,3591156;27,3025246;125,1197815;16,3431149;22,8449001;2018-08-01
"165";9;2018;257691,59375;172,583725;191,95578;27,3843403;125,4944382;16,3928337;22,8759117;2018-09-01
