 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2010;           3;  16288.2919922;   2952.7119141;   2510.5241699;    441.5180664;      0.0211951;  58608.1054688;   6005.3569336;    843.5082397;     92.7308960;    126.8323441;     13.1156988;      0.0003836;   2043.2972412
        2010;           4;  16283.0996094;   2950.3769531;   2510.9411621;    440.3793335;      0.0016207;  58605.5468750;   6028.5825195;    843.2393188;     92.6575546;    126.8534164;     13.0818701;      0.0000293;   2043.2078857
        2010;           5;  16278.4531250;   2946.3327637;   2508.6538086;    438.2055359;      0.0000000;  58604.1289062;   6054.8442383;    842.9985962;     92.5305481;    126.7378464;     13.0172958;      0.0000000;   2043.1586914
        2010;           6;  16270.6572266;   2940.3347168;   2506.6782227;    436.2825623;      0.0000000;  58601.0312500;   6095.4589844;    842.5949097;     92.3421860;    126.6380463;     12.9601727;      0.0000000;   2043.0504150
        2010;           7;  16265.5410156;   2934.9462891;   2504.9899902;    436.3473511;      0.0000000;  58598.6484375;   6125.2080078;    842.3300171;     92.1729584;    126.5527573;     12.9620962;      0.0000000;   2042.9671631
        2010;           8;  16262.7861328;   2932.7487793;   2505.9958496;    445.0364685;      0.0000000;  58595.2578125;   6135.8486328;    842.1873169;     92.1039429;    126.6035843;     13.2202139;      0.0000000;   2042.8489990
        2010;           9;  16262.6103516;   2933.8271484;   2504.8806152;    446.2280579;      0.0000000;  58592.1523438;   6143.2817383;    842.1782227;     92.1378098;    126.5472336;     13.2556133;      0.0000000;   2042.7409668
        2010;          10;  16263.9169922;   2935.6328125;   2505.2941895;    447.3576050;      0.0000000;  58589.3007812;   6143.7636719;    842.2459106;     92.1945190;    126.5681229;     13.2891674;      0.0000000;   2042.6416016
        2010;          11;  16258.5380859;   2939.4277344;   2507.5278320;    449.8576660;      0.0027190;  58581.9257812;   6164.2460938;    841.9672852;     92.3137054;    126.6809769;     13.3634338;      0.0000492;   2042.3842773
        2010;          12;  16248.9677734;   2940.7673340;   2510.2573242;    451.3269348;      0.0045428;  58574.4492188;   6199.2685547;    841.4717407;     92.3557739;    126.8188629;     13.4070787;      0.0000822;   2042.1236572
        2011;           1;  16246.6181641;   2943.6716309;   2512.6364746;    454.7254028;      0.0090655;  58571.5742188;   6200.7333984;    841.3500977;     92.4469833;    126.9390564;     13.5080328;      0.0001641;   2042.0234375
        2011;           2;  16243.9423828;   2942.9230957;   2512.8842773;    453.3402710;      0.0135198;  58570.0117188;   6213.6870117;    841.2114868;     92.4234695;    126.9515839;     13.4668875;      0.0002447;   2041.9689941
        2011;           3;  16238.6757812;   2942.7768555;   2514.5214844;    453.4118347;      0.0172298;  58567.3671875;   6230.6206055;    840.9386597;     92.4188843;    127.0342941;     13.4690142;      0.0003118;   2041.8768311
        2011;           4;  16234.0117188;   2940.6228027;   2514.5063477;    451.4394836;      0.0000000;  58565.5859375;   6251.6542969;    840.6972046;     92.3512344;    127.0335159;     13.4104223;      0.0000000;   2041.8146973
        2011;           5;  16230.0488281;   2936.8547363;   2511.7763672;    448.1907959;      0.0000000;  58564.8476562;   6275.2475586;    840.4920044;     92.2328949;    126.8956070;     13.3139162;      0.0000000;   2041.7889404
