 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2009;          11;  29988.2304688;  17585.7890625;   3229.7570801;     68.7125244;      0.0004580;  18526.5761719;   2222.6040039;   1025.7984619;    364.8065491;    107.7786865;      1.3482682;      0.0000055;    426.6447754
        2009;          12;  29999.6718750;  17585.9960938;   3194.2155762;     67.1962433;      0.0008658;  18524.7734375;   2241.6074219;   1026.1898193;    364.8108826;    106.5926514;      1.3185159;      0.0000104;    426.6032410
        2010;           1;  30009.8515625;  17580.9921875;   3150.9077148;     64.9077225;      0.0012194;  18522.9140625;   2282.5014648;   1026.5380859;    364.7070618;    105.1474380;      1.2736107;      0.0000146;    426.5604553
        2010;           2;  30016.8769531;  17576.0742188;   3121.9284668;     63.5353737;      0.0013918;  18521.3652344;   2313.1489258;   1026.7783203;    364.6050415;    104.1803894;      1.2466828;      0.0000166;    426.5247498
        2010;           3;  30027.9238281;  17571.2109375;   3082.5832520;     64.1556244;      0.0017570;  18519.1113281;   2346.4843750;   1027.1562500;    364.5041504;    102.8674164;      1.2588531;      0.0000210;    426.4729004
        2010;           4;  30038.7285156;  17567.1328125;   3047.3322754;     65.0516739;      0.0000000;  18516.6269531;   2374.6892090;   1027.5257568;    364.4195557;    101.6910858;      1.2764353;      0.0000000;    426.4156494
        2010;           5;  30038.0839844;  17561.5273438;   3027.6235352;     66.1393585;      0.0000000;  18514.0722656;   2413.4558105;   1027.5037842;    364.3032837;    101.0333862;      1.2977778;      0.0000000;    426.3568420
        2010;           6;  30041.4042969;  17550.0742188;   3001.8947754;     68.6782990;      0.0000000;  18508.3242188;   2470.2351074;   1027.6174316;    364.0657043;    100.1748047;      1.3475965;      0.0000000;    426.2244873
        2010;           7;  30034.8378906;  17546.1425781;   3004.0231934;     79.4296722;      0.0000000;  18503.3320312;   2493.2868652;   1027.3928223;    363.9841614;    100.2458420;      1.5585586;      0.0000000;    426.1094666
        2010;           8;  30027.6093750;  17550.7949219;   3000.4284668;     80.9825058;      0.0000000;  18498.1289062;   2516.2216797;   1027.1455078;    364.0806274;    100.1258698;      1.5890280;      0.0000000;    425.9896545
        2010;           9;  30026.5449219;  17556.0390625;   2992.4982910;     80.5181198;      0.0000000;  18492.3671875;   2533.6313477;   1027.1091309;    364.1894226;     99.8612442;      1.5799160;      0.0000000;    425.8569641
        2010;          10;  30047.8457031;  17555.5058594;   2957.6918945;     73.7100754;      0.0000000;  18483.6738281;   2559.6010742;   1027.8377686;    364.1783752;     98.6997299;      1.4463294;      0.0000000;    425.6567993
        2010;          11;  30063.3320312;  17552.9667969;   2914.8308105;     67.6962738;      0.0003785;  18479.3613281;   2595.7145996;   1028.3673096;    364.1256714;     97.2694397;      1.3283273;      0.0000045;    425.5574951
        2010;          12;  30082.2753906;  17549.1386719;   2856.7536621;     66.1128464;      0.0009970;  18476.1152344;   2634.7248535;   1029.0153809;    364.0462952;     95.3313751;      1.2972575;      0.0000119;    425.4826965
        2011;           1;  30090.5410156;  17545.0117188;   2825.3125000;     63.6174965;      0.0011746;  18474.7363281;   2664.4951172;   1029.2982178;    363.9606628;     94.2821579;      1.2482941;      0.0000140;    425.4509583
        2011;           2;  30097.4082031;  17542.6152344;   2802.6135254;     62.7147980;      0.0014619;  18473.6621094;   2682.3659668;   1029.5330811;    363.9109497;     93.5246887;      1.2305814;      0.0000175;    425.4262085
        2011;           3;  30110.6230469;  17535.8300781;   2754.6867676;     62.8579826;      0.0019116;  18471.4277344;   2724.1096191;   1029.9851074;    363.7702026;     91.9253464;      1.2333910;      0.0000229;    425.3747253
        2011;           4;  30120.1757812;  17532.8300781;   2725.2341309;     62.5213814;      0.0000000;  18469.7500000;   2745.8554688;   1030.3118896;    363.7079773;     90.9424896;      1.2267864;      0.0000000;    425.3361206
        2011;           5;  30115.1230469;  17530.5742188;   2717.0354004;     63.5508156;      0.0000000;  18468.5820312;   2771.0361328;   1030.1390381;    363.6611938;     90.6689072;      1.2469858;      0.0000000;    425.3092651
        2011;           6;  30109.0898438;  17528.9277344;   2712.9467773;     67.8975830;      0.0000000;  18466.1835938;   2793.3803711;   1029.9326172;    363.6270447;     90.5324631;      1.3322775;      0.0000000;    425.2539978
        2011;           7;  30099.8691406;  17528.5488281;   2712.2751465;     74.3490219;      0.0000000;  18462.7910156;   2816.8557129;   1029.6173096;    363.6191406;     90.5100555;      1.4588667;      0.0000000;    425.1758728
        2011;           8;  30091.2988281;  17532.4902344;   2708.3071289;     75.2138519;      0.0000000;  18459.1601562;   2840.2475586;   1029.3240967;    363.7009277;     90.3776398;      1.4758362;      0.0000000;    425.0922546
        2011;           9;  30084.3886719;  17536.2988281;   2704.9370117;     76.3044434;      0.0000000;  18455.4863281;   2859.6486816;   1029.0876465;    363.7799072;     90.2651749;      1.4972357;      0.0000000;    425.0076599
        2011;          10;  30103.3222656;  17540.9550781;   2684.0693359;     72.0277100;      0.0000000;  18448.8632812;   2857.5900879;   1029.7353516;    363.8765259;     89.5688095;      1.4133182;      0.0000000;    424.8551331
        2011;          11;  30122.6425781;  17537.1660156;   2645.2604980;     68.2892151;      0.0003142;  18443.2382812;   2885.8745117;   1030.3962402;    363.7979126;     88.2737350;      1.3399620;      0.0000038;    424.7256165
        2011;          12;  30133.4628906;  17534.4726562;   2617.4638672;     65.7581711;      0.0007075;  18441.0371094;   2906.6291504;   1030.7663574;    363.7420349;     87.3461456;      1.2902982;      0.0000085;    424.6749268
        2012;           1;  30144.9003906;  17527.6601562;   2576.1533203;     63.9140511;      0.0011126;  18439.0566406;   2946.4169922;   1031.1575928;    363.6007080;     85.9675827;      1.2541131;      0.0000133;    424.6293335
        2012;           2;  30149.9609375;  17523.5683594;   2558.5759277;     61.7140656;      0.0011225;  18438.0683594;   2967.2480469;   1031.3306885;    363.5158386;     85.3810196;      1.2109454;      0.0000134;    424.6065369
        2012;           3;  30166.1152344;  17528.0468750;   2526.8215332;     65.9119720;      0.0016681;  18436.4414062;   2958.4145508;   1031.8833008;    363.6087341;     84.3213654;      1.2933160;      0.0000199;    424.5690918
        2012;           4;  30173.3867188;  17521.6230469;   2503.8310547;     62.7793541;      0.0000000;  18434.6992188;   2988.0661621;   1032.1320801;    363.4754944;     83.5541534;      1.2318482;      0.0000000;    424.5289612
        2012;           5;  30171.9355469;  17515.3515625;   2490.2263184;     64.9212189;      0.0000000;  18432.1250000;   3022.5329590;   1032.0823975;    363.3453674;     83.1001587;      1.2738755;      0.0000000;    424.4696655
        2012;           6;  30169.5156250;  17512.0058594;   2485.4443359;     71.0476913;      0.0000000;  18428.6171875;   3043.4624023;   1031.9996338;    363.2759705;     82.9405823;      1.3940884;      0.0000000;    424.3889160
        2012;           7;  30161.1503906;  17512.4218750;   2485.7697754;     79.4197159;      0.0000000;  18423.6992188;   3065.4245605;   1031.7135010;    363.2846069;     82.9514465;      1.5583633;      0.0000000;    424.2756653
        2012;           8;  30153.4257812;  17517.7773438;   2482.0913086;     80.7210617;      0.0000000;  18418.7207031;   3087.2912598;   1031.4493408;    363.3957214;     82.8286896;      1.5838981;      0.0000000;    424.1609802
        2012;           9;  30147.3144531;  17522.9511719;   2478.9348145;     82.1950073;      0.0000000;  18413.8886719;   3105.5783691;   1031.2401123;    363.5030518;     82.7233582;      1.6128197;      0.0000000;    424.0497131
        2012;          10;  30175.7812500;  17526.9785156;   2439.2053223;     69.8967514;      0.0001432;  18406.4921875;   3114.7556152;   1032.2139893;    363.5865784;     81.3975677;      1.3715049;      0.0000017;    423.8793945
        2012;          11;  30189.1699219;  17515.6289062;   2398.1074219;     63.9741020;      0.0006851;  18403.1074219;   3167.7937012;   1032.6718750;    363.3511353;     80.0261078;      1.2552913;      0.0000082;    423.8014526
        2012;          12;  30200.8515625;  17503.6484375;   2354.0903320;     62.3274345;      0.0011203;  18400.7343750;   3221.1538086;   1033.0715332;    363.1026306;     78.5572357;      1.2229807;      0.0000134;    423.7467957
