Year;Month;Species;Concentration_Shallow;Concentration_Deep;SD_S;SD_D;Conc_S_3;Conc_D_3;SD_S_3;SD_D_3
2005;12;K;11.59933033;5.313878554;0.28656406;0.084988451;0.597611848;0.234940888;0.530192516;0.233086133
2006;1;K;8.325234334;3.813016064;0;0;0.8526034;0.187288367;0.572245;0.022625043
2006;2;K;10.32799887;5.313878554;0;0;2.1047895;0.1448028;0;0
2006;3;K;10.32799887;5.313878554;0;0;1.6587734;0.105249533;0;0.054946877
2006;4;K;10.32799887;4.196861789;0.280796784;0.085365749;0.35919812;0.184331683;0.179029921;0.125560817
2006;5;K;9.537122107;4.077054595;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2006;6;K;10.32799887;5.313878554;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;1;Na;108.0100365;79.24334381;0.531343319;0.500155973;2.70710818;2.50000252;0.492892452;0.552459599
2005;2;Na;92.78686471;75.73645946;0.481538947;0.551950618;2.041246063;2.037344874;0.653587206;0.544808545
2005;3;Na;105.3501693;98.37219072;0;0.530544806;0.89322682;2.103293623;0;0.707831563
2005;4;Na;86.9366125;79.11797812;0.456253471;0.780444517;1.925931715;2.241772693;0.552700721;0.677584249
2005;5;Na;105.3501693;83.06191441;0;0;0.85712076;2.731314847;0;0.736624481
2005;6;Na;102.6547058;94.10064907;0;0.989437987;2.67256584;2.75523418;0;0.698766777
2005;7;Na;105.3501693;83.06191441;0;0;0.78688512;1.9625034;0;0
2005;8;Na;105.3501693;83.06191441;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;9;Na;105.3501693;83.06191441;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;10;Na;105.3501693;83.06191441;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;11;Na;117.4575274;83.06191441;0;0;2.72464598;#DIV/0!;0;#DIV/0!
2005;12;Na;94.38530124;88.02487447;0.598730533;0.896587102;1.903698224;2.639659803;0.65702488;0.587972311
2006;1;Na;105.3501693;83.06191441;0;0;1.327402;1.961395;0.1895372;0.043764113
2006;2;Na;105.3501693;83.06191441;0;0;0.9249075;2.3767632;0;0
2006;3;Na;105.3501693;80.11309125;0;0;0.9571774;2.1632554;0;0.152619849
2006;4;Na;124.5376403;76.64317222;1.086173139;0.492846426;2.79281516;2.14889545;0.845910106;0.330071743
2006;5;Na;105.3501693;83.06191441;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2006;6;Na;105.3501693;83.06191441;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;1;Al;1.369202129;1.040163753;49.16215077;2.816571186;41.23216314;21.55998711;38.03181488;11.07966845
2005;2;Al;0.83427626;0.292531582;43.41806674;0.599497525;41.01860457;6.41785302;36.310364;6.507581268
2005;3;Al;1.029524303;0.61280942;0;14.42439859;33.36550265;13.34964633;0;11.85007516
2005;4;Al;0.966312601;0.320906443;80.09383971;0.998520916;40.16535009;6.858819877;50.95941528;2.14911883
2005;5;Al;1.029524303;0.457499077;0;0;32.274612;5.14307429;0;5.37820128
2005;6;Al;1.013567679;0.342378737;0;4.163031551;86.83687253;3.964105664;0;2.358737109
2005;7;Al;1.029524303;0.457499077;0;0;52.90029264;#DIV/0!;0;#DIV/0!
2005;8;Al;1.029524303;0.457499077;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;9;Al;1.029524303;0.457499077;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;10;Al;1.029524303;0.457499077;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;11;Al;1.463116038;0.457499077;0;0;70.67124419;#DIV/0!;0;#DIV/0!
2005;12;Al;0.94800946;0.352539887;26.53329459;2.708449036;32.67568855;6.413470188;20.64268608;1.500157421
2006;1;Al;1.029524303;0.457499077;0;0;24.4631822;9.117797567;21.4793678;8.150376883
2006;2;Al;1.029524303;0.457499077;0;0;13.678632;4.319118;0;0
2006;3;Al;1.029524303;0.245599854;0;0;34.1627138;3.553427933;0;2.626782469
2006;4;Al;0.482447541;0.12863235;42.29865535;0.620499373;26.92990853;1.75308936;28.70067967;1.210538997
2006;5;Al;1.029524303;0.457499077;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2006;6;Al;1.029524303;0.457499077;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;1;ChargeB;58.23204439;22.6755809;0;0;0;0;0;0
2005;2;ChargeB;62.43631356;59.06284148;0;0;0;0;0;0
2005;3;ChargeB;24.68586309;21.51901226;0;0;0;0;0;0
2005;4;ChargeB;75.33219165;37.98332943;0;0;0;0;0;0
2005;5;ChargeB;40.40395641;45.74323605;0;0;0;0;0;0
2005;6;ChargeB;48.79907269;28.33768853;0;0;0;0;0;0
2005;7;ChargeB;43.09941993;34.70450139;0;0;0;0;0;0
2005;8;ChargeB;43.09941993;34.70450139;0;0;0;0;0;0
2005;9;ChargeB;43.09941993;34.70450139;0;0;0;0;0;0
2005;10;ChargeB;55.20677803;34.70450139;0;0;0;0;0;0
2005;11;ChargeB;20.80798674;39.66746145;0;0;0;0;0;0
2005;12;ChargeB;26.27297551;19.16766903;0;0;0;0;0;0
2006;1;ChargeB;43.24541467;34.29981143;0;0;0;0;0;0
2006;2;ChargeB;43.09941993;42.81113076;0;0;0;0;0;0
2006;3;ChargeB;62.32952032;36.31488533;0;0;0;0;0;0
2006;4;ChargeB;27.12076452;42.20181263;0;0;0;0;0;0
2006;5;ChargeB;43.09941993;34.70450139;0;0;0;0;0;0
2006;6;ChargeB;43.09941993;43.09941993;0;0;0;0;0;0
