"","YEAR","Ca","Mg","K","Na","NO3","NH4","SO4","Cl","P","DOC","Al","Si"
"188",2192,0,2.1333441,0.0024201,16.6777637,5.9067861,0.2352426,4.7705268,27.8598497,0.0421161,10.68963,0.2802028,8.2138926
"189",2193,0,1.8960887,0.0022354,16.2100561,7.3224799,0.2288429,4.6868186,19.0577628,0.053594,10.7077769,0.2555306,8.1954582
"190",2194,0.0822518,3.842767,0.0032531,18.2217984,26.4076911,0.5376029,4.7362092,18.9153263,0.1127471,10.7296369,0.3617649,7.7457639
"191",2195,0.6542397,4.8580569,0.0045273,17.2508957,31.1408095,0.7047334,4.7361879,27.8598497,0.1127284,10.7143268,0.4268476,7.5781642
"192",2196,1.5752917,4.618969,0.0051444,15.9645925,29.3332219,0.6861492,4.7282929,19.0577628,0.1113692,10.6990247,0.3834493,7.6627193
"193",2197,2.7272041,4.8640689,0.0058435,15.5978335,28.2241267,0.6803583,4.7282719,18.9153263,0.1113431,10.6857667,0.3664278,7.7340626
"194",2198,3.9075803,5.0557447,0.0068403,16.2791396,26.8188139,0.6921349,4.7282507,27.8598497,0.1113197,10.6742548,0.3787352,7.8071149
"195",2199,4.2056245,4.5426521,0.0073922,15.9509413,25.93589,0.6690969,4.7282297,19.0577628,0.1112936,10.6642291,0.3436925,7.887437
"196",2200,4.7425499,4.633435,0.0081887,15.7685752,25.4353327,0.6686262,4.7282087,18.9153263,0.1112683,10.6554655,0.3355846,7.9432575
"197",2201,5.0618016,4.6065435,0.0092054,16.2429362,22.4385697,0.6602995,4.6966908,27.8598497,0.1059157,10.6477785,0.3408119,8.0301577
"198",2202,4.0978363,3.8483411,0.0093277,15.7854449,19.6380333,0.6056348,4.6832134,19.0577628,0.100584,10.6410108,0.3009541,8.1369815
"199",2203,3.3101108,3.6887463,0.0096311,15.6685218,17.1595923,0.572277,4.6703603,18.9153263,0.0934071,10.6350241,0.2887936,8.2217819
"200",2204,2.5199563,3.7172508,0.010471,16.3188168,14.3805949,0.5573291,4.7225999,27.8598497,0.0869217,10.6297059,0.3051456,8.3075496
"201",2205,0.8314662,3.000955,0.0101984,15.8407235,12.2501963,0.4963273,4.6816014,19.0577628,0.0805139,10.6249583,0.2779716,8.4036263
"202",2206,0.0276977,2.8672767,0.0102958,15.8723443,10.7380691,0.4635563,4.680409,18.9153263,0.0752914,10.6207012,0.2725037,8.4704381
"203",2207,0,2.4503276,0.0099888,15.7077038,4.9458802,0.2891748,4.6928915,27.8598497,0.0413975,10.618753,0.2765732,8.6265159
"204",2208,0,1.5978347,0.0082978,15.1853263,2.7566274,0.1543214,4.6519964,19.0577628,0.0381797,10.6197609,0.2448272,8.7086439
"205",2209,0,1.4267017,0.0077752,15.9710425,2.7208229,0.1497487,4.6677777,18.9153263,0.036718,10.6204102,0.2404195,8.6896391
"206",2210,0,1.6081715,0.0081029,16.665951,2.0538212,0.1382301,4.6307603,27.8598497,0.0420785,10.6209277,0.2699135,8.6808528
"207",2211,0,1.4458972,0.0074461,16.3354222,4.8792006,0.2125004,4.6359098,19.0577628,0.0617707,10.6220072,0.2501246,8.6463917
"208",2212,0,1.6629137,0.0075019,16.7260549,7.6703449,0.3063144,4.6332521,18.9153263,0.0656481,10.6238372,0.2540253,8.5195145
"209",2213,0,1.8815105,0.008256,16.9191004,7.6823058,0.3308284,4.6269318,27.8598497,0.0579834,10.6264725,0.2881465,8.463608
"210",2214,0,1.5300146,0.0078432,15.8788726,7.1361573,0.2893854,4.630005,19.0577628,0.0582877,10.6288872,0.2603359,8.4662043
"211",2215,0,1.5968377,0.0078238,16.0197981,7.0720879,0.2754067,4.6274991,18.9153263,0.0584576,10.6305975,0.2562864,8.4379245
"212",2216,0,1.7988444,0.008443,16.6536553,6.6400547,0.2854222,4.6215397,27.8598497,0.0488058,10.6322421,0.2865231,8.4290491
"213",2217,0,1.4610555,0.007815,15.8240279,6.3656598,0.255714,4.6235134,19.0577628,0.0500791,10.6339636,0.2587426,8.4346987
"214",2218,0,1.5414307,0.0076767,16.0362874,6.4585209,0.2494448,4.6255806,18.9153263,0.0530941,10.63565,0.2535876,8.4028263
"215",2219,0,1.7719076,0.0082223,16.6896928,6.214225,0.2612912,4.6172057,27.8598497,0.0431164,10.6373232,0.2854705,8.3882906
"216",2220,0,1.4459669,0.0075143,15.8312436,5.9767335,0.2353416,4.6197186,19.0577628,0.0464454,10.6390769,0.2574825,8.394746
"217",2221,0,1.3511025,0.0069198,15.3019046,6.010568,0.1579416,4.5596616,15.261854,0.0471723,9.6045978,0.2037908,8.4545668
"218",2222,0,1.6410022,0.0072659,16.8634958,5.5853844,0.1302939,4.5552446,26.0394372,0.0428734,9.5904966,0.2018911,8.4355615
"219",2223,0,1.614576,0.0074896,16.6831754,5.5245884,0.1289506,4.5561845,28.6058643,0.0437529,9.5923922,0.2263745,8.4219148
"220",2224,0,1.5861414,0.0073373,15.9841097,5.6231604,0.1281325,4.5570104,27.1632094,0.0442939,9.5941976,0.2547499,8.3951316
"221",2225,0,1.8834541,0.0082378,17.0694693,4.9010917,0.2075555,4.6161986,45.2577131,0.0451297,10.6323492,0.3913162,8.3214135
"222",2226,0,1.648852,0.0075729,16.272862,4.8728206,0.2253608,4.6168079,34.0746015,0.0416638,10.649817,0.295015,8.3401008
"223",2227,0,1.407556,0.0066354,15.0546178,5.0664429,0.2124845,4.6186834,21.3373592,0.0426967,10.6513295,0.2627221,8.3253371
"224",2228,0,1.7198847,0.0065674,16.4987098,5.0135144,0.2141664,4.6152651,26.6477119,0.044835,10.6527969,0.2733985,8.3050506
"225",2229,0,1.5307374,0.0059409,15.8301356,5.0638874,0.2012952,4.6147494,19.4695092,0.0413673,10.6541982,0.2542043,8.3040518
"226",2230,0,1.6703692,0.0055908,16.0189522,5.2608073,0.2046042,4.6151489,18.9153263,0.0418861,10.6555199,0.2475312,8.2835957
"227",2231,0,2.048259,0.0058876,16.7178634,5.2451631,0.2180776,4.6143276,27.8598497,0.0421356,10.6567316,0.2775606,8.2651199
"228",2232,0,1.7165089,0.0052931,15.8588642,5.3141247,0.2036039,4.6128224,19.0577628,0.0416487,10.6578513,0.2511822,8.2661615
"229",2233,0,1.8084864,0.0049974,16.0141506,5.4165044,0.205196,4.6122192,18.9153263,0.0417699,10.6589071,0.2468462,8.249807
"230",2234,0,2.1553336,0.0052401,16.7060545,5.3471231,0.2161115,4.6106598,27.8598497,0.0413346,10.6599048,0.2761929,8.2341565
"231",2235,0,1.9067035,0.0048291,16.201395,6.7556274,0.2105146,4.6178512,19.0577628,0.0527528,10.6780779,0.2528354,8.216465
"232",2236,0.0767877,3.8527327,0.006932,18.269552,25.2334749,0.510347,4.674817,18.9153263,0.111749,10.6999706,0.3537897,7.7626466
"233",2237,0.6196923,4.8819952,0.0094571,17.2853924,29.8485892,0.6730939,4.6148068,27.8598497,0.1117313,10.6846568,0.4170054,7.5945971
"234",2238,1.5020869,4.6065412,0.0105737,15.9455112,28.0812336,0.6558351,4.5757275,19.0577628,0.1103728,10.6693512,0.3748837,7.6805677
"235",2239,2.626007,4.8491195,0.0118232,15.5956881,27.0021225,0.6492138,4.5162898,18.9153263,0.1103475,10.65609,0.3576433,7.7534336
"236",2240,3.8157318,5.0607865,0.0136736,16.2688768,25.6351799,0.6609245,4.455853,27.8598497,0.1103249,10.6445772,0.368776,7.8259763
"237",2241,4.11878,4.5300858,0.0146042,15.9250657,24.7786184,0.6380305,4.4256469,19.0577628,0.1102997,10.6345484,0.3339438,7.9055993
"238",2242,4.6413027,4.5986307,0.0159673,15.7533356,24.2961495,0.6361614,4.2090597,18.9153263,0.1102751,10.625786,0.3260846,7.9634931
"239",2243,5.0206045,4.6168412,0.0178235,16.244758,21.3286921,0.6292529,4.3035071,27.8598497,0.1049138,10.6180994,0.3304862,8.0501362
"240",2244,4.0708988,3.8309096,0.0178381,15.7472647,18.5462461,0.57413,4.2519604,19.0577628,0.0995759,10.6113325,0.2915756,8.1569834
"241",2245,3.3025145,3.6684985,0.0182288,15.6539555,16.079173,0.5399547,4.2390918,18.9153263,0.0924162,10.6053478,0.2784934,8.242006
"242",2246,2.5733204,3.7234621,0.0196367,16.2976709,13.3240429,0.5231885,4.2306329,27.8598497,0.0859317,10.6000326,0.2936708,8.3293054
"243",2247,0.9329962,2.9937159,0.0188996,15.7879137,11.209149,0.4611452,4.227722,19.0577628,0.0795244,10.5952891,0.2668515,8.4265542
"244",2248,0.0569199,2.8591733,0.0189089,15.8712756,9.7054448,0.4269493,4.2265299,18.9153263,0.0743029,10.5910336,0.2617075,8.493349
"245",2249,0,2.5063126,0.018372,15.7670908,4.4366759,0.2642542,4.2350713,27.8598497,0.04041,10.5890989,0.2701952,8.6442678
"246",2250,0,1.6446292,0.01515,15.1811173,2.4343942,0.136916,4.2515711,19.0577628,0.0373643,10.5901273,0.2389501,8.7213852
"247",2251,0,1.4613615,0.0140977,15.9515976,2.3958719,0.1322629,4.2647528,18.9153263,0.0359031,10.5907953,0.2347075,8.701746
"248",2252,0,1.6360258,0.014701,16.7032458,1.7581384,0.1233937,4.2673945,27.8598497,0.0351828,10.5913488,0.2651036,8.6931642
"249",2253,0,1.4420823,0.0133622,16.2799292,4.340526,0.1902655,4.2725012,19.0577628,0.0608099,10.5924568,0.2455695,8.6646081
"250",2254,0,1.6499055,0.0136493,16.7306073,6.9977626,0.281127,4.2698291,18.9153263,0.0645041,10.5943139,0.2489529,8.539328
"251",2255,0,1.8900941,0.0153208,16.9630623,7.0293865,0.3065767,4.2634885,27.8598497,0.056947,10.5969756,0.2824622,8.4827268
"252",2256,0,1.5280015,0.0144393,15.8495154,6.4870555,0.2660061,4.266545,19.0577628,0.0570805,10.5994121,0.2560488,8.4846211
"253",2257,0,1.5879102,0.0143364,16.0146668,6.4178895,0.2522617,4.264135,18.9153263,0.0572249,10.6011401,0.2517886,8.4559296
"254",2258,0,1.8069909,0.0155197,16.6695615,6.0303137,0.2620191,4.2580552,27.8598497,0.0476922,10.6028037,0.2811501,8.4487742
"255",2259,0,1.4554345,0.0142918,15.7896201,5.7402804,0.232796,4.2600245,19.0577628,0.0491673,10.6045417,0.2547124,8.4552853
"256",2260,0,1.5242319,0.0140359,16.0315504,5.8168327,0.2263619,4.2620828,18.9153263,0.0518115,10.6062479,0.249496,8.4245414
"257",2261,0,1.7695368,0.0150861,16.7061292,5.614495,0.2377786,4.2537433,27.8598497,0.0420451,10.6079371,0.2801519,8.4080472
"258",2262,0,1.438196,0.0137821,15.8024221,5.4025496,0.2146224,4.2562182,19.0577628,0.0452776,10.6097076,0.2523936,8.4111592
"259",2263,0,1.510774,0.0133612,16.017357,5.4720073,0.2126067,4.2579991,18.9153263,0.0471028,10.6114426,0.2476232,8.3859933
"260",2264,0,1.7825482,0.0142524,16.6985756,5.1765099,0.2224428,4.2534338,27.8598497,0.0426329,10.6131393,0.2786123,8.3728702
"261",2265,0,1.4304775,0.0126345,15.6844112,5.0654741,0.1378928,4.1975976,19.3687875,0.0430193,9.5803598,0.2052476,8.4501393
"262",2266,0,1.6510342,0.0128721,16.2623998,5.0286359,0.109425,4.1985639,24.0349594,0.0436131,9.566495,0.2310394,8.4166658
"263",2267,0,1.8236793,0.0139306,16.7392559,4.4250874,0.1061608,4.1957372,34.8891257,0.0440759,9.5683026,0.2745781,8.4186891
"264",2268,0,1.5727108,0.0134668,16.2617441,4.3534667,0.0965689,4.1964456,31.6590632,0.0406202,9.5700673,0.250597,8.4253202
"265",2269,0,1.3946823,0.0123175,15.375138,4.5535195,0.1554734,4.2549677,20.2445051,0.0414757,10.6065366,0.2538713,8.3449668
"266",2270,0,1.3463659,0.0107927,15.9207333,4.6101351,0.17478,4.251956,13.4048259,0.0435207,10.6236536,0.2424949,8.3379492
"267",2271,0,1.5669983,0.0107434,16.5824248,4.6993188,0.1816596,4.2514492,16.8169505,0.0406923,10.624972,0.2342269,8.316841
"268",2272,0,1.7622775,0.0109346,16.1862778,4.8516992,0.188797,4.251707,19.9690355,0.0412016,10.6262688,0.249423,8.3016785
"269",2273,0,2.2129693,0.0122777,16.9948774,4.8414373,0.2095858,4.2508378,33.9309538,0.041447,10.6274703,0.2817509,8.2816211
"270",2274,0,1.6861357,0.011024,15.5835664,4.9213694,0.1919949,4.2492928,22.2144113,0.040957,10.6285871,0.2673314,8.281825
"271",2275,0,1.7466285,0.0100182,15.8772034,5.0183414,0.1878117,4.2486775,18.8836319,0.041075,10.6296454,0.2443555,8.2661182
"272",2276,0,2.1760061,0.0105619,16.7098705,4.9650429,0.1981885,4.2471373,27.8598497,0.040379,10.6306464,0.2724042,8.2522076
"273",2277,0,1.9362359,0.0097636,16.1763227,6.3545597,0.1926875,4.2544147,19.0577628,0.0518378,10.6488659,0.248182,8.2357735
"274",2278,0.0725611,3.8854035,0.0139919,18.3018694,24.2286998,0.4828986,4.3040871,18.9153263,0.1107833,10.6708143,0.3440584,7.7790383
"275",2279,0.59437,4.9217647,0.0189312,17.316018,28.7085315,0.6429963,4.3040678,27.8598497,0.1107663,10.6554672,0.4075101,7.6100347
"276",2280,1.4496933,4.6103942,0.020908,15.9350196,26.9714709,0.6258271,4.2961745,19.0577628,0.1094089,10.6401308,0.3659893,7.6970232
"277",2281,2.5523188,4.8392917,0.0231938,15.5911818,25.9139123,0.6203447,4.2961549,18.9153263,0.1093845,10.6268429,0.3501476,7.7685567
"278",2282,3.7463148,5.0709391,0.0265917,16.2822296,24.5768672,0.6313627,4.2961353,27.8598497,0.1093627,10.6153096,0.3612433,7.838065
"279",2283,4.0720456,4.536552,0.0281371,15.9018925,23.7390039,0.6092111,4.2961154,19.0577628,0.1093383,10.605265,0.3260429,7.9198333
"280",2284,4.6207981,4.621297,0.0305605,15.7563609,23.2699717,0.6082217,4.2960957,18.9153263,0.1093148,10.5964856,0.3175116,7.9760544
"281",2285,5.0025954,4.6297263,0.0337648,16.2160999,20.3243339,0.5997157,4.2645793,27.8598497,0.1039543,10.588789,0.3234011,8.0642569
"282",2286,4.0576759,3.8304537,0.0334217,15.7098385,17.5562751,0.544758,4.2510091,19.0577628,0.098617,10.5820123,0.2838177,8.1732054
"283",2287,3.3074528,3.6527308,0.033802,15.6423059,15.0984473,0.5101789,4.2382518,18.9153263,0.0914582,10.5760204,0.2703742,8.258487
"284",2288,2.6243178,3.7292649,0.0360717,16.2907102,12.3627078,0.4918212,4.229794,27.8598497,0.0849745,10.5707003,0.2870508,8.3478514
"285",2289,1.0244552,2.9968202,0.0342269,15.7367043,10.2611174,0.4283809,4.2268842,19.0577628,0.0785677,10.5659526,0.2599975,8.4485386
"286",2290,0.0891364,2.8577978,0.0339319,15.8770372,8.7921308,0.392703,4.2256931,18.9153263,0.073347,10.561695,0.2560747,8.5129517
"287",2291,0,2.5541832,0.032958,15.8328455,3.9987802,0.240941,4.2342352,27.8598497,0.0394555,10.5597672,0.2659016,8.6547142
"288",2292,0,1.6820241,0.0271218,15.1758954,2.1635396,0.1217157,4.250674,19.0577628,0.0365763,10.5608065,0.2367026,8.7300751
"289",2293,0,1.4881407,0.0250174,15.9497316,2.1202327,0.1169643,4.262618,18.9153263,0.0351154,10.5614866,0.233377,8.711721
"290",2294,0,1.6581887,0.0259503,16.7270689,1.5105448,0.1098769,4.2664725,27.8598497,0.030151,10.5620619,0.2638215,8.7018839
"291",2295,0,1.4296639,0.0232464,16.2031377,3.7854474,0.1664642,4.2715528,19.0577628,0.0598917,10.5631884,0.2433002,8.680715
"292",2296,0,1.6316397,0.0238509,16.732181,6.3783223,0.256238,4.2688746,18.9153263,0.0634175,10.5650634,0.2452588,8.5567998
"293",2297,0,1.8874751,0.0268797,16.9992022,6.4494219,0.2846636,4.2625227,27.8598497,0.0559797,10.5677448,0.2798217,8.4974488
"294",2298,0,1.5134452,0.0251287,15.8163904,5.9081429,0.2450322,4.2655658,19.0577628,0.0559565,10.570198,0.2532458,8.5017397
"295",2299,0,1.5684811,0.024829,16.0198047,5.8351572,0.2316434,4.263231,18.9153263,0.056079,10.5719414,0.2481947,8.4744666
"296",2300,0,1.8060652,0.0268376,16.6936598,5.4843562,0.2406956,4.2570603,27.8598497,0.0466741,10.5736159,0.279266,8.4633565
"297",2301,0,1.4503121,0.0246184,15.7565058,5.1840711,0.212963,4.2590201,19.0577628,0.0483002,10.5753682,0.2514357,8.4708945
"298",2302,0,1.5100841,0.0240679,16.0225446,5.2519928,0.2076104,4.2610754,18.9153263,0.0505947,10.5770866,0.2468872,8.4426142
"299",2303,0,1.7735658,0.025915,16.7362341,5.0858918,0.2179798,4.2527788,27.8598497,0.041081,10.5787905,0.2772876,8.4246036
"300",2304,0,1.4371031,0.0236332,15.7794307,4.8910201,0.1968103,4.2551976,19.0577628,0.0442033,10.5805755,0.2507558,8.427988
"301",2305,0,1.5041606,0.0229144,16.0190537,4.9319403,0.1952092,4.2569922,18.9153263,0.0462144,10.5823262,0.2461918,8.4044761
"302",2306,0,1.7843524,0.0245733,16.7053752,4.6344114,0.2041562,4.2525942,27.8598497,0.0419677,10.5840389,0.2758528,8.3928584
"303",2307,0,1.451949,0.0222988,15.7863729,4.5926482,0.1842361,4.2535216,19.0577628,0.042828,10.5858038,0.2496171,8.3932318
"304",2308,0,1.5244804,0.0215383,16.0271334,4.6971887,0.1851298,4.2543664,18.9153263,0.0433502,10.5875367,0.2449041,8.3684316
"305",2309,0,1.7936418,0.0224515,16.5235705,4.1607443,0.1206847,4.1944096,27.3556508,0.04337,9.5563133,0.196046,8.4457676
"306",2310,0,1.6858599,0.0224581,16.4599666,4.0181233,0.0798528,4.1952106,28.7724047,0.0399832,9.5426053,0.2234795,8.4369779
"307",2311,0,1.5566565,0.0210883,15.7463962,4.2083306,0.0819952,4.1970533,22.4555116,0.0400002,9.5443867,0.195987,8.4179228
"308",2312,0,1.8317302,0.0233468,16.7561432,4.1683735,0.0897168,4.1946187,34.5838837,0.0421205,9.5460025,0.2535952,8.3945881
"309",2313,0,1.633729,0.023031,16.3535489,4.326615,0.1491369,4.2506307,29.8148285,0.0400466,10.5806213,0.2800615,8.3131064
"310",2314,0,1.7338806,0.0220453,16.0096385,4.5699724,0.1860872,4.2507104,26.3644491,0.0405436,10.5973527,0.250468,8.3082973
"311",2315,0,1.7843761,0.0221163,16.1498485,4.5636556,0.1861855,4.2498225,27.2161228,0.0407803,10.5984699,0.2546568,8.2964986
"312",2316,0,1.6305153,0.0205593,15.8449106,4.6551351,0.1772081,4.2482612,22.186506,0.0402892,10.5995631,0.2633182,8.2947003
"313",2317,0,1.7659293,0.0203345,15.9853622,4.7471828,0.1802673,4.2476104,23.0340949,0.040407,10.6006175,0.2626727,8.2777465
"314",2318,0,2.1083535,0.0208398,16.644195,4.6972574,0.1836991,4.2460747,28.6560898,0.0394836,10.6016226,0.2775022,8.2623085
"315",2319,0,1.8882673,0.0192023,16.1196488,6.0824139,0.1782057,4.2534301,19.1280013,0.0509482,10.619882,0.2480779,8.2444286
"316",2320,0.0692822,3.8413787,0.0275091,18.2931686,23.3548983,0.4580367,4.3032708,18.9153263,0.1098494,10.6418801,0.3389636,7.7894847
"317",2321,0.5756686,4.922045,0.0372318,17.3335027,27.6710399,0.6132108,4.3032523,27.8598497,0.1098333,10.6265107,0.4010987,7.621534
"318",2322,1.4071115,4.6110062,0.0412224,15.9145473,25.9588988,0.597312,4.2953591,19.0577628,0.1084767,10.6111458,0.3601163,7.7108394
"319",2323,2.4890592,4.8215696,0.0457761,15.5876956,24.9197262,0.5918166,4.2953403,18.9153263,0.108453,10.5978378,0.3437732,7.7827131
"320",2324,3.6793438,5.0575932,0.0526893,16.2546334,23.6057898,0.603394,4.2953216,27.8598497,0.1084318,10.5862836,0.3546942,7.8559444
"321",2325,3.9894155,4.4987392,0.0556242,15.882964,22.7854481,0.5806931,4.2953023,19.0577628,0.1084084,10.5762257,0.3209568,7.9367376
"322",2326,4.5360948,4.5821767,0.0604114,15.7635748,22.3268515,0.5800145,4.2952835,18.9153263,0.1083856,10.5674353,0.3122248,7.9934917
"323",2327,4.9438362,4.6115907,0.0666211,16.2026213,19.3999786,0.5711225,4.2637674,27.8598497,0.1030259,10.5597286,0.3168057,8.0813669
"324",2328,4.0175697,3.8106524,0.0655934,15.6765334,16.6436275,0.5160678,4.2501133,19.0577628,0.0976894,10.552947,0.2775035,8.1908561
"325",2329,3.2960926,3.6342386,0.065957,15.6292114,14.1937211,0.4808485,4.2374417,18.9153263,0.090531,10.5469487,0.2641716,8.2763698
"326",2330,2.6774881,3.7409714,0.070158,16.2690292,11.474914,0.4612312,4.2289845,27.8598497,0.084048,10.5416237,0.2794333,8.3669819
"327",2331,1.1096687,2.9865832,0.0660767,15.7054248,9.3862426,0.39697,4.226075,19.0577628,0.0776424,10.5368749,0.2532022,8.4660008
"328",2332,0.1297799,2.8631709,0.06523,15.8805622,7.9899618,0.3594889,4.2248846,18.9153263,0.0724222,10.5326141,0.2484936,8.5323982
"329",2333,0,2.6124875,0.0635893,15.8792992,3.6219486,0.2179421,4.233389,27.8598497,0.0385319,10.5306843,0.2619776,8.6671977
"330",2334,0,1.7244178,0.0521776,15.1581917,1.9373557,0.1073519,4.2496419,19.0577628,0.0358137,10.5317248,0.2350369,8.7389405
"331",2335,0,1.5325621,0.0478272,15.9629848,1.8928059,0.1034299,4.2599763,18.9153263,0.0343533,10.5324187,0.2303668,8.7206933
"332",2336,0,1.7023608,0.049422,16.7509934,1.3015469,0.0969655,4.2654187,27.8598497,0.0296788,10.5330257,0.262341,8.7098005
"333",2337,0,1.4188552,0.0440646,16.0552832,3.0185391,0.1330012,4.2704429,19.0577628,0.0568043,10.534182,0.2403444,8.7028459
"334",2338,0,1.616436,0.0455063,16.7523939,5.7006667,0.2248795,4.2677446,18.9153263,0.0620938,10.5360915,0.2425448,8.5782454
"335",2339,0,1.892686,0.0513025,17.0715706,5.9090184,0.2621703,4.2613635,27.8598497,0.0547466,10.5388136,0.2768659,8.514718
"336",2340,0,1.512332,0.0476819,15.8048401,5.368468,0.2239987,4.2643855,19.0577628,0.0545598,10.541307,0.2511152,8.5205842
"337",2341,0,1.5582443,0.0468038,16.0210252,5.292932,0.2106256,4.2622496,18.9153263,0.0546544,10.5430861,0.2468108,8.4924606
"338",2342,0,1.8050891,0.0504786,16.7140115,4.9782782,0.2188893,4.2558568,27.8598497,0.0453716,10.5447984,0.2765262,8.4790757
"339",2343,0,1.4452462,0.0460421,15.7402214,4.7010401,0.1930951,4.2578146,19.0577628,0.0473771,10.5465879,0.2498159,8.4869877
"340",2344,0,1.497485,0.0447856,16.0154706,4.744604,0.189901,4.2598653,18.9153263,0.0490729,10.548343,0.2450853,8.4583231
"341",2345,0,1.7766324,0.0482324,16.7591971,4.6016751,0.1994492,4.2516857,27.8598497,0.0401752,10.5500784,0.2749663,8.4381305
"342",2346,0,1.4324455,0.0437746,15.7531821,4.4303041,0.1795528,4.2539993,19.0577628,0.0428659,10.5518963,0.2490975,8.4421883
"343",2347,0,1.4887337,0.0422664,16.0064973,4.445497,0.1781291,4.2558381,18.9153263,0.0454407,10.5536777,0.2445042,8.4216709
"344",2348,0,1.7803286,0.0453264,16.7244229,4.1893837,0.186284,4.2517774,27.8598497,0.0413419,10.5554164,0.2739646,8.412109
"345",2349,0,1.4420298,0.040988,15.7622444,4.1662421,0.1672045,4.2527029,19.0577628,0.0421961,10.5572052,0.2474168,8.4136311
"346",2350,0,1.5095865,0.0394809,16.0331096,4.3052584,0.1682106,4.2535578,18.9153263,0.0427294,10.558957,0.2431,8.3869801
"347",2351,0,1.8214079,0.0424018,16.7145401,3.9612637,0.1662574,4.2500593,27.8598497,0.0431017,10.5606374,0.2715752,8.3771487
"348",2352,0,1.4805465,0.0382522,15.7531208,3.9664362,0.148459,4.2507698,19.0577628,0.0397064,10.5623157,0.2459586,8.3823492
"349",2353,0,1.3473048,0.0346936,15.2126948,4.074728,0.0957748,4.1946216,15.261854,0.0393366,9.5326837,0.1931486,8.4533842
"350",2354,0,1.7432866,0.0369914,16.9620768,3.9676012,0.075806,4.1937582,26.0394372,0.0398573,9.5190211,0.1917715,8.4275357
"351",2355,0,1.7760869,0.038846,16.7899591,4.0814943,0.080087,4.192886,28.6058643,0.0390559,9.5205981,0.2155827,8.4063326
"352",2356,0,1.7350678,0.03836,16.0267047,4.2119754,0.0816394,4.1932309,27.1632094,0.0395336,9.5220222,0.2447434,8.3823871
"353",2357,0,2.1890723,0.0448008,17.2425461,4.2616006,0.1560568,4.2488682,45.2577131,0.0401373,10.5547946,0.3797453,8.2792473
"354",2358,0,1.9370114,0.0424078,16.2902852,4.4416385,0.1762865,4.2471407,34.0746015,0.039637,10.5711227,0.2879529,8.2858866
"355",2359,0,1.6290513,0.0375281,15.0364858,4.5231931,0.1643184,4.2464512,21.3373592,0.0394487,10.5720882,0.255116,8.2811049
"356",2360,0,1.9805823,0.0377849,16.4810575,4.4798474,0.1666792,4.244895,26.6477119,0.0384818,10.573068,0.2649953,8.2679076
"357",2361,0,1.8577375,0.0357516,16.1248066,5.8600206,0.1642144,4.2523922,19.4695092,0.0499628,10.5913785,0.2478779,8.252272
"358",2362,0.0665707,3.8030983,0.0508804,18.2795938,22.5811984,0.433199,4.3024829,18.9153263,0.1089446,10.6134435,0.3345577,7.8003243
"359",2363,0.5555104,4.9030236,0.0688708,17.3290213,26.7390663,0.5840349,4.3024647,27.8598497,0.1089293,10.598022,0.3950012,7.633335
"360",2364,1.3667397,4.588078,0.0762572,15.9130606,25.0443274,0.5691967,4.2945726,19.0577628,0.1075733,10.5826129,0.3537229,7.7216287
"361",2365,2.4266848,4.7959329,0.0845107,15.5781341,24.0176176,0.5630397,4.2945545,18.9153263,0.1075505,10.5692674,0.3384136,7.7938672
"362",2366,3.631219,5.0644553,0.0971318,16.2489253,22.7227649,0.5744963,4.2945361,27.8598497,0.1075303,10.5576823,0.3501345,7.8667223
"363",2367,3.9462175,4.4920474,0.1023445,15.8605299,21.9143252,0.5530006,4.2945179,19.0577628,0.1075073,10.5475941,0.3148229,7.9492484
"364",2368,4.4871023,4.5743705,0.110766,15.7640066,21.4631051,0.5519309,4.2944993,18.9153263,0.1074853,10.5387826,0.3063723,8.0069488
"365",2369,4.9177067,4.6107617,0.1217342,16.1820394,18.5506002,0.5427542,4.2629843,27.8598497,0.10211,10.5310569,0.3114424,8.0946393
"366",2370,3.992244,3.7882505,0.1191027,15.639073,15.803097,0.488356,4.2491691,19.0577628,0.0967906,10.5242581,0.2720051,8.2071212
"367",2371,3.2837978,3.6069847,0.1189639,15.6010436,13.3588357,0.4522568,4.23666,18.9153263,0.0896331,10.518247,0.2582793,8.2954651
"368",2372,2.7135889,3.7336831,0.1261075,16.2602681,10.6547517,0.4312433,4.2282035,27.8598497,0.0831452,10.5129135,0.2731687,8.3852176
"369",2373,1.1879718,2.9784488,0.1179432,15.6523578,8.6078674,0.3658435,4.2252563,19.0577628,0.0767458,10.5081542,0.2464241,8.4855282
"370",2374,0.1743172,2.8650264,0.1157661,15.8884974,7.2631478,0.3257031,4.2240665,18.9153263,0.0715264,10.5038871,0.2433543,8.5517227
"371",2375,0,2.6781557,0.1138042,15.9704001,3.2863797,0.1948275,4.2326086,27.8598497,0.0376371,10.5019477,0.2579663,8.6775089
"372",2376,0,1.7783065,0.0936614,15.176588,1.7497378,0.0956051,4.2485898,19.0577628,0.0350746,10.5029797,0.2318953,8.7457676
"373",2377,0,1.5633276,0.0860644,15.9488322,1.7022735,0.0931576,4.2573407,18.9153263,0.0337362,10.5036828,0.2290165,8.7277513
"374",2378,0,1.7346692,0.089534,16.7731629,1.1348436,0.0853048,4.264376,27.8598497,0.0292214,10.5043179,0.2597987,8.7159718
