siteID;month;yr;Criteria1;Criteria2;Criteria3;Ca;Mg;K;Na;NH4;NO3;Cl;SO4;Br;pH;conduc;svol;ppt;fullChemLab;daysSample;startDate;lastDate
OR02;5;1987;80;100;99;0.049;0.054;0.023;0.418;0.043;0.302;0.755;0.407;-9;5.384;6.211;5804.9;8.737;4;35;4/28/1987 0:00;6/2/1987 0:00
OR02;6;1987;100;100;100;0.09;0.089;0.035;0.717;0.01;0.23;1.27;0.6;-9;5.3;8.6;403.6;0.584;1;28;6/2/1987 0:00;6/30/1987 0:00
OR02;7;1987;100;100;100;0.022;0.015;0.007;0.113;0.01;0.142;0.163;0.233;-9;5.403;3.118;5387.8;6.567;4;35;6/30/1987 0:00;8/4/1987 0:00
OR02;8;1987;100;100;100;0.11;0.049;0.02;0.389;0.01;0.015;0.51;0.63;-9;6.29;5.8;106.7;0.178;1;28;8/4/1987 0:00;9/1/1987 0:00
OR02;9;1987;50;100;80;0.05;0.035;0.011;0.321;0.01;0.015;0.43;0.37;-9;6.24;4.2;185.9;0.318;1;28;9/1/1987 0:00;9/29/1987 0:00
OR02;10;1987;100;100;100;0.02;0.01;0.015;0.044;0.04;0.37;0.08;0.19;-9;5.35;3.1;1047.7;1.6;1;35;9/29/1987 0:00;11/3/1987 0:00
OR02;11;1987;100;100;100;0.072;0.152;0.048;1.3;0.011;0.099;2.383;0.458;-9;5.508;11.311;10648.1;15.926;4;28;11/3/1987 0:00;12/1/1987 0:00
OR02;12;1987;100;100;100;0.049;0.099;0.031;0.832;0.01;0.051;1.527;0.286;-9;5.455;7.479;9165.5;34.459;4;28;12/1/1987 0:00;12/29/1987 0:00
OR02;1;1988;80;100;59;0.033;0.058;0.019;0.508;0.01;0.06;0.917;0.221;-9;5.392;5.661;13731.3;34.57;4;35;12/29/1987 0:00;2/2/1988 0:00
OR02;2;1988;100;100;100;0.127;0.189;0.056;1.56;0.012;0.115;2.85;0.621;-9;5.592;13.069;4938;7.365;4;28;2/2/1988 0:00;3/1/1988 0:00
OR02;3;1988;75;100;34;0.115;0.181;0.059;1.471;0.144;0.058;2.787;0.612;-9;5.407;12.819;3869.4;16.637;3;28;3/1/1988 0:00;3/29/1988 0:00
OR02;4;1988;80;100;94;0.073;0.13;0.06;1.054;0.01;0.147;1.94;0.615;-9;5.177;11.125;9692.101;15.037;4;35;3/29/1988 0:00;5/3/1988 0:00
OR02;5;1988;100;100;100;0.032;0.027;0.008;0.235;0.01;0.071;0.403;0.265;-9;5.351;4.272;6387.3;9.043;4;28;5/3/1988 0:00;5/31/1988 0:00
OR02;6;1988;100;100;100;0.045;0.04;0.005;0.383;0.01;0.015;0.601;0.395;-9;5.199;6.013;4281.9;5.969;2;28;5/31/1988 0:00;6/28/1988 0:00
OR02;7;1988;100;100;100;0.08;0.062;0.01;0.636;0.015;0.015;0.836;0.533;-9;5.796;6.868;525.7;0.692;3;35;6/28/1988 0:00;8/2/1988 0:00
OR02;8;1988;100;100;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;0;0;28;8/2/1988 0:00;8/30/1988 0:00
OR02;9;1988;100;100;100;0.023;0.022;0.011;0.187;0.01;0.031;0.323;0.162;-9;5.502;3.149;2436.7;3.581;2;35;8/30/1988 0:00;10/4/1988 0:00
OR02;10;1988;100;100;100;0.091;0.039;0.039;0.297;0.056;0.383;0.245;0.504;-9;6.249;9.133;600.8;1.042;4;28;10/4/1988 0:00;11/1/1988 0:00
OR02;11;1988;100;100;100;0.052;0.138;0.04;1.195;0.01;0.052;2.143;0.413;-9;5.264;10.575;29009.801;43.38;4;28;11/1/1988 0:00;11/29/1988 0:00
OR02;12;1988;100;100;100;0.057;0.154;0.045;1.281;0.01;0.077;2.411;0.458;-9;5.358;11.094;12776.301;19.075;5;35;11/29/1988 0:00;1/3/1989 0:00
OR02;1;1989;100;100;100;0.031;0.07;0.017;0.604;0.01;0.047;1.107;0.264;-9;5.533;6.086;13781.1;21.057;4;28;1/3/1989 0:00;1/31/1989 0:00
OR02;2;1989;0;100;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;12.02;0;28;1/31/1989 0:00;2/28/1989 0:00
OR02;3;1989;100;100;100;0.044;0.058;0.017;0.487;0.01;0.054;0.804;0.276;-9;5.413;5.742;21127.998;31.8;5;35;2/28/1989 0:00;4/4/1989 0:00
OR02;4;1989;100;100;100;0.1;0.026;0.019;0.182;0.12;0.486;0.255;0.525;-9;5.467;6.514;1438.3;2.07;4;28;4/4/1989 0:00;5/2/1989 0:00
OR02;5;1989;100;100;100;0.101;0.092;0.119;0.764;0.268;0.126;1.376;0.537;-9;5.867;9.55;4965.1;7.264;4;28;5/2/1989 0:00;5/30/1989 0:00
OR02;6;1989;100;100;100;0.023;0.046;0.025;0.396;0.036;0.211;0.713;0.344;-9;5.693;4.866;1782.1;2.667;2;36;5/30/1989 0:00;7/5/1989 0:00
OR02;7;1989;100;100;100;0.051;0.031;0.087;0.175;0.139;0.412;0.393;0.549;-9;6.193;5.989;1165.9;1.702;2;27;7/5/1989 0:00;8/1/1989 0:00
OR02;8;1989;100;100;100;0.008;0.01;0.007;0.077;0.023;0.09;0.149;0.229;-9;5.563;2.617;2840.7;4.318;3;28;8/1/1989 0:00;8/29/1989 0:00
OR02;9;1989;100;100;100;0.05;0.019;0.025;0.096;0.086;0.755;0.137;0.615;-9;4.873;8.306;1565.4;2.35;2;35;8/29/1989 0:00;10/3/1989 0:00
OR02;10;1989;100;100;100;0.02;0.021;0.013;0.187;0.03;0.121;0.32;0.164;-9;5.598;3.367;6554.8;9.868;3;28;10/3/1989 0:00;10/31/1989 0:00
OR02;11;1989;100;100;100;0.035;0.077;0.026;0.658;0.013;0.076;1.215;0.287;-9;5.372;7.118;8959.9;13.424;4;28;10/31/1989 0:00;11/28/1989 0:00
OR02;12;1989;100;100;100;0.017;0.039;0.014;0.352;0.019;0.095;0.637;0.209;-9;5.403;4.673;4002.9;14.504;4;35;11/28/1989 0:00;1/2/1990 0:00
OR02;1;1990;100;100;100;0.059;0.145;0.044;1.23;0.025;0.098;2.404;0.408;-9;5.464;10.892;25687.199;36.602;4;28;1/2/1990 0:00;1/30/1990 0:00
OR02;2;1990;100;100;100;0.057;0.128;0.038;1.073;0.01;0.07;1.955;0.45;-9;5.318;10.732;21216.6;30.277;4;28;1/30/1990 0:00;2/27/1990 0:00
OR02;3;1990;100;100;100;0.027;0.042;0.015;0.361;0.035;0.134;0.621;0.256;-9;5.499;4.728;6111.8;9.168;4;35;2/27/1990 0:00;4/3/1990 0:00
OR02;4;1990;100;100;100;0.038;0.048;0.015;0.421;0.013;0.121;0.719;0.233;-9;5.596;4.794;8340.4;12.287;3;28;4/3/1990 0:00;5/1/1990 0:00
OR02;5;1990;100;100;100;0.049;0.044;0.024;0.359;0.044;0.086;0.633;0.339;-9;5.401;5.468;3334.2;5.88;4;28;5/1/1990 0:00;5/29/1990 0:00
OR02;6;1990;80;100;99;0.037;0.062;0.023;0.54;0.026;0.216;0.94;0.471;-9;5.179;7.616;5429.1;8.001;4;35;5/29/1990 0:00;7/3/1990 0:00
OR02;7;1990;100;100;100;0.14;0.029;0.031;0.136;0.3;1.04;0.21;0.89;-9;5.33;8.4;384.2;0.559;1;28;7/3/1990 0:00;7/31/1990 0:00
OR02;8;1990;100;100;100;0.037;0.014;0.045;0.124;0.079;0.348;0.207;0.3;-9;5.572;3.927;2556.2;4.445;3;35;7/31/1990 0:00;9/4/1990 0:00
OR02;9;1990;100;100;100;0.013;0.017;0.012;0.168;0.058;0.262;0.292;0.291;-9;5.297;5.153;1479.9;2.172;2;28;9/4/1990 0:00;10/2/1990 0:00
OR02;10;1990;100;100;100;0.023;0.045;0.015;0.387;0.019;0.135;0.652;0.22;-9;5.408;4.864;10624.9;15.544;4;28;10/2/1990 0:00;10/30/1990 0:00
OR02;11;1990;100;100;100;0.053;0.124;0.034;1;0.018;0.09;1.862;0.391;-9;5.37;9.526;19967;29.438;5;35;10/30/1990 0:00;12/4/1990 0:00
OR02;12;1990;69;100;70;0.1;0.26;0.082;2.284;0.01;0.122;4.018;0.755;-9;5.311;18.363;4629.9;9.47;3;29;12/4/1990 0:00;1/2/1991 0:00
OR02;1;1991;100;100;100;0.016;0.038;0.009;0.348;0.026;0.172;0.629;0.205;-9;5.306;4.723;7461.5;11.555;3;27;1/2/1991 0:00;1/29/1991 0:00
OR02;2;1991;100;100;100;0.042;0.091;0.031;0.714;0.01;0.144;1.323;0.303;-9;5.353;7.369;10835.399;16.51;4;28;1/29/1991 0:00;2/26/1991 0:00
OR02;3;1991;100;100;100;0.041;0.077;0.025;0.617;0.013;0.12;1.116;0.276;-9;5.361;6.539;15031.899;21.663;5;35;2/26/1991 0:00;4/2/1991 0:00
OR02;4;1991;75;100;92;0.057;0.074;0.037;0.611;0.01;0.161;1.078;0.356;-9;5.377;6.902;10954.8;17.779;2;28;4/2/1991 0:00;4/30/1991 0:00
OR02;5;1991;100;100;100;0.079;0.057;0.04;0.443;0.043;0.35;0.742;0.47;-9;5.299;7.07;6822.5;9.906;5;35;4/30/1991 0:00;6/4/1991 0:00
OR02;6;1991;100;100;100;0.063;0.062;0.034;0.558;0.045;0.571;0.923;0.745;-9;5.086;10.896;1625.8;2.325;4;28;6/4/1991 0:00;7/2/1991 0:00
OR02;7;1991;75;100;55;0.03;0.011;0.014;0.068;0.01;0.48;0.15;0.35;-9;5.37;4.4;159.8;0.559;1;28;7/2/1991 0:00;7/30/1991 0:00
OR02;8;1991;100;100;100;0.086;0.025;0.033;0.123;0.01;0.041;0.223;0.287;-9;6.312;4.71;1664.6;2.54;3;35;7/30/1991 0:00;9/3/1991 0:00
OR02;9;1991;100;100;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;0;0;28;9/3/1991 0:00;10/1/1991 0:00
OR02;10;1991;100;100;100;0.095;0.156;0.059;1.17;0.01;0.025;2.292;0.505;-9;5.409;11.302;4500.4;6.477;2;28;10/1/1991 0:00;10/29/1991 0:00
OR02;11;1991;80;100;74;0.029;0.065;0.021;0.548;0.01;0.11;1.003;0.25;-9;5.353;5.99;12741.5;25.45;4;35;10/29/1991 0:00;12/3/1991 0:00
OR02;12;1991;100;100;100;0.023;0.059;0.022;0.517;0.016;0.116;0.902;0.363;-9;5.232;6.593;10990;16.765;4;28;12/3/1991 0:00;12/31/1991 0:00
OR02;1;1992;100;100;100;0.038;0.111;0.037;0.939;0.01;0.103;1.675;0.328;-9;5.406;8.686;14768.001;23.012;5;35;12/31/1991 0:00;2/4/1992 0:00
OR02;2;1992;100;100;100;0.021;0.048;0.014;0.385;0.02;0.151;0.704;0.2;-9;5.504;4.704;10972.399;16.256;4;28;2/4/1992 0:00;3/3/1992 0:00
OR02;3;1992;75;100;97;0.042;0.017;0.017;0.083;0.074;0.331;0.124;0.247;-9;5.718;3.297;2498.4;3.657;3;28;3/3/1992 0:00;3/31/1992 0:00
