"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"Date";"group_id"
"43";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;7;0;0;0;0;0;0;0;0;0;0;3,81e-05;0;NA;NA;NA;NA;2008-07-01;1
"44";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;8;0;0;0;0;0;0;0;0;0;0;0,0003927;0;NA;NA;NA;NA;2008-08-01;1
"45";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;9;0;0;0;0;0;0;0;0;0;0;0,0006748;0;NA;NA;NA;NA;2008-09-01;1
"46";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;10;1,1889973;0,936167;0,6444952;1,2179941;0,0155632;0,0181733;0,3585893;2,1231594;0,0487837;19,7350349;0,0003775;2,0392916;NA;NA;NA;NA;2008-10-01;1
"47";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;11;2,3617609;1,8581403;2,1472061;4,1139369;0,0641254;0,0967234;1,980544;7,6389446;0,077212;30,9602566;0,0001036;3,0390947;NA;NA;NA;NA;2008-11-01;1
"48";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;12;1,2665896;0,9956716;1,5195345;3,00666;0,0606362;0,0793292;1,8566289;6,3801661;0,0364367;8,9182854;5,26e-05;0,8087124;NA;NA;NA;NA;2008-12-01;1
"49";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;1;0,8450543;0,6637185;1,1294305;2,2476008;0,0410676;0,0709635;1,5395243;4,388104;0,0377522;5,3031025;4,34e-05;0,3733383;NA;NA;NA;NA;2009-01-01;1
"50";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;2;0,3822127;0,3000294;0,5393886;1,0353826;0,0479237;0,0486696;0,7759544;1,3350565;0,0317163;4,3060422;4,39e-05;0,2358783;NA;NA;NA;NA;2009-02-01;1
"51";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;3;0,708582;0,5558014;0,9770632;1,8776757;0,0677809;0,0929385;1,3719103;3,0250409;0,044557;6,272047;4,54e-05;0,3581513;NA;NA;NA;NA;2009-03-01;1
"52";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;4;0,4454778;0,3492014;0,5041713;0,9664375;0,0280559;0,0320622;0,5662358;1,5687224;0,0348872;5,3129606;7,48e-05;0,3082325;NA;NA;NA;NA;2009-04-01;1
"53";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;5;0,6367816;0,4988531;0,6658158;1,2240065;0;0,000436;0,6784036;1,3801532;0,0759585;11,1864214;0,0001601;0,6114357;NA;NA;NA;NA;2009-05-01;1
"54";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;6;0;0;0;0;0;0;0;0;0;0;0,0005733;0;NA;NA;NA;NA;2009-06-01;1
"55";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;7;0;0;0;0;0;0;0;0;0;0;4,53e-05;0;NA;NA;NA;NA;2009-07-01;1
"56";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;8;0;0;0;0;0;0;0;0;0;0;6,2e-06;0;NA;NA;NA;NA;2009-08-01;1
"57";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;9;0;0;0;0;0;0;0;0;0;0;1,23e-05;0;NA;NA;NA;NA;2009-09-01;1
"58";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;10;1,227473;0,9619541;0,9121136;1,737196;0,0277438;0,0374228;0,6982601;3,1613426;0,0709593;16,1896076;7,99e-05;2,5925362;NA;NA;NA;NA;2009-10-01;1
"59";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;11;1,1891203;0,9312113;1,2704164;2,4534459;0,0551851;0,0792217;1,4039714;4,7535443;0,0585486;12,7173977;6,84e-05;1,5103905;NA;NA;NA;NA;2009-11-01;1
"60";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2009;12;0,8427222;0,6594605;1,0609419;2,0922842;0,0432833;0,0737355;1,3921102;4,3640189;0,029197;5,6605058;4,93e-05;0,5430622;NA;NA;NA;NA;2009-12-01;1
"61";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;1;0,8597125;0,6721338;1,1019734;2,177773;0,0499014;0,0937254;1,4678571;4,1602631;0,0605127;7,0444779;5,05e-05;0,3533788;NA;NA;NA;NA;2010-01-01;1
"62";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;2;0,6617389;0,516955;0,7913871;1,5791531;0,0474131;0,0817301;0,9831324;2,9687207;0,0511962;6,3674655;6,23e-05;0,2445872;NA;NA;NA;NA;2010-02-01;1
"63";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;3;0,9758338;0,7616336;1,181788;2,4176276;0,0932339;0,1320859;1,485655;4,9490137;0,0577998;7,6477923;6,37e-05;0,3419157;NA;NA;NA;NA;2010-03-01;1
"64";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;4;0,8921966;0,6957785;1,0502099;2,1833422;0,0504191;0,0689046;1,2697175;4,3851156;0,0515231;7,6791172;6,98e-05;0,4548099;NA;NA;NA;NA;2010-04-01;1
"65";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;5;0,5441726;0,424178;0,5252723;1,0970461;0;0;0,5004495;2,0872662;0,0419357;6,8288741;0,0001226;0,4343911;NA;NA;NA;NA;2010-05-01;1
